sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
09252017-A01	09252017	A01	b3	1	1.687579487	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A02	09252017	A02	b3	0	0.121414142	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A03	09252017	A03	b3	1	2.213132519	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A04	09252017	A04	b3	1	0.985682477	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A05	09252017	A05	b3	1	1.728674204	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A06	09252017	A06	b3	1	1.251604387	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A07	09252017	A07	b3	1	2.649744373	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A08	09252017	A08	b3	1	0.252540165	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A09	09252017	A09	b3	1	1.52069684	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A10	09252017	A10	b3	1	1.206292758	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A11	09252017	A11	b3	1	0.151797852	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-A12	09252017	A12	b3	1	2.702200142	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B01	09252017	B01	b3	1	1.011426131	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B02	09252017	B02	b3	1	2.261284615	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B03	09252017	B03	b3	2	1.50053285	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B04	09252017	B04	b3	1	2.165392089	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B05	09252017	B05	b3	1	2.260294441	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B06	09252017	B06	b3	1	1.584052268	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B07	09252017	B07	b3	1	1.854227896	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B08	09252017	B08	b3	1	1.566426895	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B09	09252017	B09	b3	1	1.446377197	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B10	09252017	B10	b3	2	1.314931446	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B11	09252017	B11	b3	1	1.409526029	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-B12	09252017	B12	b3	2	2.912866503	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C01	09252017	C01	b3	1	2.243275913	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C02	09252017	C02	b3	1	1.797104896	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C03	09252017	C03	b3	1	1.996631303	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C04	09252017	C04	b3	1	1.715825666	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C05	09252017	C05	b3	1	2.263846485	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C06	09252017	C06	b3	1	0.146022138	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C07	09252017	C07	b3	1	0.282611244	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C08	09252017	C08	b3	1	1.809768117	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C09	09252017	C09	b3	1	2.51104975	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C10	09252017	C10	b3	1	1.699729148	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C11	09252017	C11	b3	1	2.164367372	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-C12	09252017	C12	b3	1	2.292530477	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D01	09252017	D01	b3	1	1.364863458	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D02	09252017	D02	b3	1	1.515821414	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D03	09252017	D03	b3	2	0.759773031	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D04	09252017	D04	b3	1	1.460287029	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D05	09252017	D05	b3	1	2.37985596	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D06	09252017	D06	b3	1	2.642919985	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D07	09252017	D07	b3	1	0.687463164	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D08	09252017	D08	b3	1	1.936036776	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D09	09252017	D09	b3	1	2.094009225	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D10	09252017	D10	b3	1	2.103879051	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D11	09252017	D11	b3	0	0.121474788	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-D12	09252017	D12	b3	1	2.069510716	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E01	09252017	E01	b3	1	0.458164719	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E02	09252017	E02	b3	1	1.904597086	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E03	09252017	E03	b3	1	0.448487411	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E04	09252017	E04	b3	1	1.979046859	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E05	09252017	E05	b3	1	2.139890511	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E06	09252017	E06	b3	1	1.505933134	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E07	09252017	E07	b3	1	1.738485866	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E08	09252017	E08	b3	1	1.125631348	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E09	09252017	E09	b3	1	0.515644718	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E10	09252017	E10	b3	1	2.407395766	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E11	09252017	E11	b3	1	0.523355429	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-E12	09252017	E12	b3	1	3.043400632	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F01	09252017	F01	b3	1	0.841913479	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F02	09252017	F02	b3	1	1.870340326	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F03	09252017	F03	b3	1	2.157178284	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F04	09252017	F04	b3	1	1.808712752	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F05	09252017	F05	b3	1	1.959224935	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F06	09252017	F06	b3	1	2.732885724	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F07	09252017	F07	b3	1	2.668546387	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F08	09252017	F08	b3	1	0.676965394	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F09	09252017	F09	b3	1	1.941061434	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F10	09252017	F10	b3	1	1.844186605	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F11	09252017	F11	b3	1	1.477130458	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-F12	09252017	F12	b3	1	3.498464432	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G01	09252017	G01	b3	1	1.985347949	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G02	09252017	G02	b3	1	1.825567596	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G03	09252017	G03	b3	1	2.613938467	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G04	09252017	G04	b3	1	1.965939015	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G05	09252017	G05	b3	1	1.546164969	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G06	09252017	G06	b3	1	1.587285221	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G07	09252017	G07	b3	1	1.928124197	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G08	09252017	G08	b3	1	2.155402843	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G09	09252017	G09	b3	1	0.168203192	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G10	09252017	G10	b3	1	2.017264226	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G11	09252017	G11	b3	1	1.834307776	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-G12	09252017	G12	b3	1	2.13585947	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H01	09252017	H01	b3	1	0.709883589	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H02	09252017	H02	b3	1	1.995480701	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H03	09252017	H03	b3	1	1.403618894	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H04	09252017	H04	b3	1	1.291132048	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H05	09252017	H05	b3	1	2.413249626	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H06	09252017	H06	b3	1	1.44459318	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H07	09252017	H07	b3	1	2.498776853	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H08	09252017	H08	b3	1	0.502145153	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H09	09252017	H09	b3	1	1.530394631	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H10	09252017	H10	b3	0	0.129580358	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H11	09252017	H11	b3	1	1.36047008	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
09252017-H12	09252017	H12	b3	1	2.067836127	TRUE	NA18858	NA18858	NA19114	NA18499	0	0	50x dilution	1
