sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
02242018-A01	02242018	A01	b6	1	3.760626027	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A02	02242018	A02	b6	1	3.548344293	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A03	02242018	A03	b6	0	0.19919751	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A04	02242018	A04	b6	1	3.984375625	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A05	02242018	A05	b6	2	2.325722024	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A06	02242018	A06	b6	1	3.607179459	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A07	02242018	A07	b6	1	0.485273856	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A08	02242018	A08	b6	1	2.625622375	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A09	02242018	A09	b6	1	2.519047353	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A10	02242018	A10	b6	1	1.889826533	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A11	02242018	A11	b6	1	1.21019512	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-A12	02242018	A12	b6	1	1.087505737	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B01	02242018	B01	b6	1	4.018517611	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B02	02242018	B02	b6	1	4.174624163	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B03	02242018	B03	b6	0	0.230404453	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B04	02242018	B04	b6	1	2.555669991	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B05	02242018	B05	b6	1	7.020528868	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B06	02242018	B06	b6	1	3.008561155	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B07	02242018	B07	b6	1	5.80520704	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B08	02242018	B08	b6	1	5.678442902	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B09	02242018	B09	b6	1	0.771869927	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B10	02242018	B10	b6	1	6.160730918	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B11	02242018	B11	b6	1	8.466860231	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-B12	02242018	B12	b6	1	1.304975772	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C01	02242018	C01	b6	0	0.357459837	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C02	02242018	C02	b6	1	3.537803078	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C03	02242018	C03	b6	1	2.715910835	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C04	02242018	C04	b6	2	2.270974436	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C05	02242018	C05	b6	1	5.465819681	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C06	02242018	C06	b6	1	3.059195048	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C07	02242018	C07	b6	1	3.766364312	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C08	02242018	C08	b6	1	4.916549828	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C09	02242018	C09	b6	1	2.894590414	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C10	02242018	C10	b6	1	0.938078389	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C11	02242018	C11	b6	1	3.003773891	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-C12	02242018	C12	b6	1	4.929544347	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D01	02242018	D01	b6	1	2.639465778	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D02	02242018	D02	b6	1	2.179963434	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D03	02242018	D03	b6	1	2.202094869	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D04	02242018	D04	b6	1	2.1236135	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D05	02242018	D05	b6	1	2.969711761	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D06	02242018	D06	b6	1	1.720783073	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D07	02242018	D07	b6	1	1.027381447	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D08	02242018	D08	b6	1	1.255279571	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D09	02242018	D09	b6	1	3.735697183	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D10	02242018	D10	b6	1	0.759579366	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D11	02242018	D11	b6	1	6.026178128	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-D12	02242018	D12	b6	1	7.523632637	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E01	02242018	E01	b6	1	3.162014986	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E02	02242018	E02	b6	1	6.213558851	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E03	02242018	E03	b6	1	0.686191333	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E04	02242018	E04	b6	2	2.674028039	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E05	02242018	E05	b6	1	4.789701515	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E06	02242018	E06	b6	1	3.536011582	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E07	02242018	E07	b6	1	0.31779185	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E08	02242018	E08	b6	1	4.85977445	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E09	02242018	E09	b6	1	3.941866753	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E10	02242018	E10	b6	1	3.800213915	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E11	02242018	E11	b6	1	4.12878518	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-E12	02242018	E12	b6	1	4.830419416	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F01	02242018	F01	b6	1	0.97552728	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F02	02242018	F02	b6	1	2.58299499	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F03	02242018	F03	b6	1	2.536473824	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F04	02242018	F04	b6	1	0.621524671	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F05	02242018	F05	b6	1	2.435885253	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F06	02242018	F06	b6	1	5.577289734	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F07	02242018	F07	b6	1	1.11633989	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F08	02242018	F08	b6	1	0.749623146	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F09	02242018	F09	b6	1	2.384769494	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F10	02242018	F10	b6	1	5.113355027	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F11	02242018	F11	b6	1	4.682840242	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-F12	02242018	F12	b6	1	4.615750516	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G01	02242018	G01	b6	1	0.630375	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G02	02242018	G02	b6	1	3.752780291	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G03	02242018	G03	b6	1	0.50589744	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G04	02242018	G04	b6	1	4.290821298	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G05	02242018	G05	b6	1	3.672363263	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G06	02242018	G06	b6	1	0.975580233	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G07	02242018	G07	b6	1	3.814727989	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G08	02242018	G08	b6	1	0.857751433	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G09	02242018	G09	b6	1	1.385618737	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G10	02242018	G10	b6	1	1.26066667	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G11	02242018	G11	b6	1	2.968697502	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-G12	02242018	G12	b6	1	3.572358472	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-H01	02242018	H01	b6	1	6.045666459	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-H02	02242018	H02	b6	1	1.188184255	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-H03	02242018	H03	b6	1	2.381450984	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-H04	02242018	H04	b6	1	5.114772712	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-H05	02242018	H05	b6	1	4.156435313	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-H06	02242018	H06	b6	1	3.073381771	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
02242018-H07	02242018	H07	b6	1	1.064122768	TRUE	NA18505	NA19130	NA19204	NA19210	0	0	50x dilution	4
