sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
08142017-A01	08142017	A01	1	1.604305875	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A02	08142017	A02	1	0.401915351	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A03	08142017	A03	1	0.500868866	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A04	08142017	A04	1	1.297698916	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A05	08142017	A05	1	0.706740506	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A06	08142017	A06	0	0.255598854	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A07	08142017	A07	1	1.59528379	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A08	08142017	A08	1	1.694289436	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A09	08142017	A09	1	0.863969668	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A10	08142017	A10	1	1.778099485	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A11	08142017	A11	0	0.162133369	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-A12	08142017	A12	1	0.530531774	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B01	08142017	B01	1	1.981844078	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B02	08142017	B02	1	0.341667407	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B03	08142017	B03	0	0.313521688	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B04	08142017	B04	1	0.742924543	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B05	08142017	B05	1	1.157434014	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B06	08142017	B06	0	0.185035689	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B07	08142017	B07	1	1.07784393	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B08	08142017	B08	1	0.793979948	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B09	08142017	B09	1	1.460551817	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
