sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
08142017-B10	08142017	B10	1	0.990663408	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B11	08142017	B11	1	1.026853617	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-B12	08142017	B12	2	0.683303015	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C01	08142017	C01	1	0.128791907	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C02	08142017	C02	1	1.143575739	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C03	08142017	C03	1	2.501775973	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C04	08142017	C04	1	0.823466687	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C05	08142017	C05	1	0.974849378	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C06	08142017	C06	1	1.587759468	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C07	08142017	C07	0	0.204467336	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C08	08142017	C08	1	0.835327259	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C09	08142017	C09	1	1.400957016	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C10	08142017	C10	1	1.330233004	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C11	08142017	C11	1	0.863492449	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-C12	08142017	C12	1	0.679753298	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D01	08142017	D01	1	1.480090255	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D02	08142017	D02	1	1.888569501	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D03	08142017	D03	1	2.260388572	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D04	08142017	D04	1	0.879179684	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D05	08142017	D05	1	0.946076866	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D06	08142017	D06	1	0.634235553	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D07	08142017	D07	1	0.372658047	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D08	08142017	D08	1	1.089476999	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D09	08142017	D09	1	1.428511336	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D10	08142017	D10	1	1.727355921	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D11	08142017	D11	1	3.166455105	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-D12	08142017	D12	1	0.309319604	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E01	08142017	E01	1	2.08205684	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E02	08142017	E02	1	0.744487753	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E03	08142017	E03	1	1.982401051	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E04	08142017	E04	1	1.307562302	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E05	08142017	E05	1	1.985011154	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E06	08142017	E06	1	1.154032856	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E07	08142017	E07	1	1.390996744	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E08	08142017	E08	1	0.447907604	FALSE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E09	08142017	E09	1	0.539130456	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E10	08142017	E10	1	1.315173944	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E11	08142017	E11	1	1.277256517	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-E12	08142017	E12	1	2.058478856	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F01	08142017	F01	1	1.447150781	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F02	08142017	F02	1	2.935069435	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F03	08142017	F03	1	0.531533648	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F04	08142017	F04	1	1.272444836	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F05	08142017	F05	1	1.23696605	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F06	08142017	F06	1	1.007364473	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F07	08142017	F07	1	1.048135401	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F08	08142017	F08	1	3.987274425	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F09	08142017	F09	1	0.832460509	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F10	08142017	F10	1	2.425214549	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F11	08142017	F11	1	2.786275564	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-F12	08142017	F12	1	1.993088243	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G01	08142017	G01	1	1.674201987	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G02	08142017	G02	1	0.507581996	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G03	08142017	G03	1	0.553878292	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G04	08142017	G04	1	1.403409903	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G05	08142017	G05	1	0.55529486	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G06	08142017	G06	1	1.231305001	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G07	08142017	G07	1	0.392394222	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G08	08142017	G08	1	0.942879908	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G09	08142017	G09	0	0.199237422	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G10	08142017	G10	1	1.821544152	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G11	08142017	G11	1	1.52090649	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-G12	08142017	G12	1	0.806391286	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H01	08142017	H01	1	1.819323641	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H02	08142017	H02	2	1.041562022	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H03	08142017	H03	1	0.532866199	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H04	08142017	H04	1	1.729659495	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H05	08142017	H05	1	0.826209184	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H06	08142017	H06	1	1.327074844	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H07	08142017	H07	1	0.510127642	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H08	08142017	H08	1	0.843275951	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H09	08142017	H09	1	1.967709488	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H10	08142017	H10	1	2.538618008	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H11	08142017	H11	1	0.512173804	FALSE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
08142017-H12	08142017	H12	1	2.467120725	TRUE	NA18507	NA18508	NA18499	NA19257	0	0	50x dilution	2
