sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
11292017-A01	11292017	A01	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A02	11292017	A02	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A03	11292017	A03	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A04	11292017	A04	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A05	11292017	A05	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A06	11292017	A06	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A07	11292017	A07	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A08	11292017	A08	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A09	11292017	A09	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A10	11292017	A10	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A11	11292017	A11	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-A12	11292017	A12	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B01	11292017	B01	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B02	11292017	B02	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B03	11292017	B03	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B04	11292017	B04	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B05	11292017	B05	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B06	11292017	B06	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B07	11292017	B07	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B08	11292017	B08	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B09	11292017	B09	b5	0	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B10	11292017	B10	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B11	11292017	B11	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-B12	11292017	B12	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C01	11292017	C01	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C02	11292017	C02	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C03	11292017	C03	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C04	11292017	C04	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C05	11292017	C05	b5	0	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C06	11292017	C06	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C07	11292017	C07	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C08	11292017	C08	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C09	11292017	C09	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C10	11292017	C10	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C11	11292017	C11	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-C12	11292017	C12	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D01	11292017	D01	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D02	11292017	D02	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D03	11292017	D03	b5	2	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D04	11292017	D04	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D05	11292017	D05	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D06	11292017	D06	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D07	11292017	D07	b5	1	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
11292017-D08	11292017	D08	b5	2	NA	TRUE	NA18912	NA19130	NA19140	NA19204	0	0	50x dilution	4
