sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
12012017-A01	12012017	A01	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A02	12012017	A02	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A03	12012017	A03	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A04	12012017	A04	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A05	12012017	A05	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A06	12012017	A06	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A07	12012017	A07	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A08	12012017	A08	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A09	12012017	A09	b5	2	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A10	12012017	A10	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A11	12012017	A11	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-A12	12012017	A12	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B01	12012017	B01	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B02	12012017	B02	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B03	12012017	B03	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B04	12012017	B04	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B05	12012017	B05	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B06	12012017	B06	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B07	12012017	B07	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
12012017-B08	12012017	B08	b5	1	NA	TRUE	NA18501	NA18511	NA18517	NA19140	0	0	50x dilution	4
