sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
11212017-A01	11212017	A01	b4	1	0.591754839	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A02	11212017	A02	b4	1	1.972953168	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A03	11212017	A03	b4	1	1.244618384	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A04	11212017	A04	b4	1	0.446247599	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A05	11212017	A05	b4	1	1.843303696	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A06	11212017	A06	b4	1	0.369584275	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A07	11212017	A07	b4	1	0.78230299	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A08	11212017	A08	b4	1	2.219609315	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A09	11212017	A09	b4	1	1.604292084	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A10	11212017	A10	b4	1	2.285748991	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A11	11212017	A11	b4	1	0.434734162	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-A12	11212017	A12	b4	1	1.888472868	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B01	11212017	B01	b4	1	1.82685283	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B02	11212017	B02	b4	1	1.977875165	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B03	11212017	B03	b4	1	1.763695492	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B04	11212017	B04	b4	1	1.757781433	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B05	11212017	B05	b4	1	2.144012166	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B06	11212017	B06	b4	1	1.801134051	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B07	11212017	B07	b4	1	1.848641609	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B08	11212017	B08	b4	1	0.842961481	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B09	11212017	B09	b4	0	0.356033316	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B10	11212017	B10	b4	1	1.723691957	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B11	11212017	B11	b4	1	2.057934455	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-B12	11212017	B12	b4	1	2.162496494	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C01	11212017	C01	b4	1	2.222955758	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C02	11212017	C02	b4	1	0.452552022	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C03	11212017	C03	b4	1	1.014124323	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C04	11212017	C04	b4	1	1.675389802	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C05	11212017	C05	b4	0	0.234224096	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C06	11212017	C06	b4	1	1.376337644	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C07	11212017	C07	b4	1	1.767937835	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C08	11212017	C08	b4	1	1.089780002	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C09	11212017	C09	b4	1	0.532967515	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C10	11212017	C10	b4	1	2.337074965	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C11	11212017	C11	b4	1	2.145206798	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-C12	11212017	C12	b4	1	0.610873296	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D01	11212017	D01	b4	1	2.287407097	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D02	11212017	D02	b4	1	2.352573447	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D03	11212017	D03	b4	1	1.821688838	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D04	11212017	D04	b4	1	2.086823233	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D05	11212017	D05	b4	1	1.634209624	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D06	11212017	D06	b4	1	2.009998559	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D07	11212017	D07	b4	1	1.152243143	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D08	11212017	D08	b4	1	1.471557175	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D09	11212017	D09	b4	1	1.635581022	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D10	11212017	D10	b4	1	2.061955306	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D11	11212017	D11	b4	1	1.894573222	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-D12	11212017	D12	b4	1	1.887840422	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E01	11212017	E01	b4	1	0.495506466	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E02	11212017	E02	b4	1	0.563471563	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E03	11212017	E03	b4	1	1.92939507	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E04	11212017	E04	b4	1	1.96956156	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E05	11212017	E05	b4	1	1.895634173	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E06	11212017	E06	b4	1	1.209823179	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E07	11212017	E07	b4	1	0.722442242	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E08	11212017	E08	b4	1	1.291388131	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E09	11212017	E09	b4	1	0.473727198	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E10	11212017	E10	b4	1	1.467810823	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E11	11212017	E11	b4	1	1.056595844	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-E12	11212017	E12	b4	1	0.553957542	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F01	11212017	F01	b4	1	1.677115009	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F02	11212017	F02	b4	1	0.535962048	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F03	11212017	F03	b4	1	2.330109051	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F04	11212017	F04	b4	1	1.151605659	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F05	11212017	F05	b4	1	1.839744362	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F06	11212017	F06	b4	1	2.475714116	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F07	11212017	F07	b4	1	1.525576739	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F08	11212017	F08	b4	1	2.040437816	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F09	11212017	F09	b4	1	1.531603539	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F10	11212017	F10	b4	1	1.725565247	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F11	11212017	F11	b4	1	0.488589243	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-F12	11212017	F12	b4	1	1.760963156	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G01	11212017	G01	b4	1	0.770612193	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G02	11212017	G02	b4	1	1.834407861	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G03	11212017	G03	b4	1	0.580701174	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G04	11212017	G04	b4	1	1.764235072	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G05	11212017	G05	b4	1	2.054954314	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G06	11212017	G06	b4	1	1.851135863	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G07	11212017	G07	b4	1	0.957432424	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G08	11212017	G08	b4	1	0.615946637	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G09	11212017	G09	b4	1	0.787524323	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G10	11212017	G10	b4	2	1.952823692	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G11	11212017	G11	b4	1	1.720853708	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-G12	11212017	G12	b4	1	1.237482754	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H01	11212017	H01	b4	1	0.474818434	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H02	11212017	H02	b4	2	0.97133003	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H03	11212017	H03	b4	1	1.548333085	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H04	11212017	H04	b4	1	1.313752109	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H05	11212017	H05	b4	1	1.473548811	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H06	11212017	H06	b4	1	1.2415884	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H07	11212017	H07	b4	1	0.613835177	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H08	11212017	H08	b4	1	0.503093273	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H09	11212017	H09	b4	1	1.446204984	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H10	11212017	H10	b4	0	0.385007244	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H11	11212017	H11	b4	2	2.134011248	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
11212017-H12	11212017	H12	b4	1	2.323303089	TRUE	NA18507	NA18907	NA19144	NA19206	0	0	50x dilution	1
