sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03052018-A01	03052018	A01	b6	1	1.545926418	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A02	03052018	A02	b6	1	1.360223918	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A03	03052018	A03	b6	1	1.361232025	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A04	03052018	A04	b6	1	1.703145826	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A05	03052018	A05	b6	1	0.412009012	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A06	03052018	A06	b6	1	1.631668769	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A07	03052018	A07	b6	1	1.376786183	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A08	03052018	A08	b6	1	0.535475491	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A09	03052018	A09	b6	1	1.357435854	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A10	03052018	A10	b6	1	1.653776596	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A11	03052018	A11	b6	1	1.472218652	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-A12	03052018	A12	b6	1	1.505576678	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B01	03052018	B01	b6	1	0.587074102	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B02	03052018	B02	b6	1	0.870170443	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B03	03052018	B03	b6	1	1.077492992	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B04	03052018	B04	b6	1	1.146914091	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B05	03052018	B05	b6	1	1.235640043	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B06	03052018	B06	b6	1	1.614526729	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B07	03052018	B07	b6	1	1.137412543	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B08	03052018	B08	b6	1	1.774506801	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
03052018-B09	03052018	B09	b6	1	1.332498223	TRUE	NA18517	NA18859	NA19159	NA19203	0	0	50x dilution	1
