sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03302017-E06	03302017	E06	1	1.213312915	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-E07	03302017	E07	1	0.469013994	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-E08	03302017	E08	1	1.527950082	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-E09	03302017	E09	1	1.537051024	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-E10	03302017	E10	1	1.948823091	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-E11	03302017	E11	1	1.878486443	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-E12	03302017	E12	1	0.555747448	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F01	03302017	F01	1	1.046527612	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F02	03302017	F02	1	0.398877564	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F03	03302017	F03	1	1.697794482	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F04	03302017	F04	1	1.673630239	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F05	03302017	F05	1	1.94680497	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F06	03302017	F06	1	1.908074251	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F07	03302017	F07	1	1.694192024	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F08	03302017	F08	1	1.79762288	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F09	03302017	F09	1	0.775897241	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F10	03302017	F10	1	1.68191088	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F11	03302017	F11	1	2.051886209	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-F12	03302017	F12	1	1.876896912	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G01	03302017	G01	1	1.504866129	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G02	03302017	G02	1	2.142506669	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
