sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
04142017-A01	04142017	A01	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A02	04142017	A02	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A03	04142017	A03	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A04	04142017	A04	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A05	04142017	A05	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A06	04142017	A06	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A07	04142017	A07	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A08	04142017	A08	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A09	04142017	A09	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A10	04142017	A10	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A11	04142017	A11	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-A12	04142017	A12	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B01	04142017	B01	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B02	04142017	B02	0	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B03	04142017	B03	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B04	04142017	B04	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B05	04142017	B05	0	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B06	04142017	B06	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B07	04142017	B07	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B08	04142017	B08	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B09	04142017	B09	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B10	04142017	B10	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B11	04142017	B11	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-B12	04142017	B12	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C01	04142017	C01	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C02	04142017	C02	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C03	04142017	C03	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C04	04142017	C04	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C05	04142017	C05	2	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C06	04142017	C06	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C07	04142017	C07	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C08	04142017	C08	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C09	04142017	C09	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
04142017-C10	04142017	C10	1	NA	TRUE	NA18498	NA18510	NA18520	NA19203	5000	25000	100x dilution	2
