sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
11132017-A01	11132017	A01	b4	1	0.653991677	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A02	11132017	A02	b4	1	3.01116996	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A03	11132017	A03	b4	1	0.397962754	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A04	11132017	A04	b4	1	2.788846447	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A05	11132017	A05	b4	1	2.562101794	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A06	11132017	A06	b4	1	1.237331224	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A07	11132017	A07	b4	1	2.779363174	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A08	11132017	A08	b4	1	0.90876463	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A09	11132017	A09	b4	1	2.557270587	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A10	11132017	A10	b4	1	2.597366504	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A11	11132017	A11	b4	1	0.798801083	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-A12	11132017	A12	b4	1	3.051249317	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B01	11132017	B01	b4	1	4.085021057	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B02	11132017	B02	b4	1	2.847431561	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B03	11132017	B03	b4	1	0.555892835	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B04	11132017	B04	b4	1	3.28368841	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B05	11132017	B05	b4	1	3.704348122	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B06	11132017	B06	b4	2	1.305007912	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B07	11132017	B07	b4	1	2.847289488	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
11132017-B08	11132017	B08	b4	1	1.977392286	TRUE	NA18907	NA19099	NA19207	NA19209	0	0	50x dilution	1
