sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03012018-A01	03012018	A01	b6	1	0.564483107	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A02	03012018	A02	b6	1	0.782718005	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A03	03012018	A03	b6	1	1.675607933	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A04	03012018	A04	b6	1	1.263535171	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A05	03012018	A05	b6	1	1.940924944	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A06	03012018	A06	b6	1	1.428257026	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A07	03012018	A07	b6	1	1.519315075	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A08	03012018	A08	b6	1	2.014771918	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A09	03012018	A09	b6	1	1.400761499	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A10	03012018	A10	b6	1	1.846876109	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A11	03012018	A11	b6	1	0.861749079	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-A12	03012018	A12	b6	1	1.855957232	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B01	03012018	B01	b6	2	1.742758593	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B02	03012018	B02	b6	1	1.097065936	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B03	03012018	B03	b6	1	2.078765598	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B04	03012018	B04	b6	0	0.281308342	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B05	03012018	B05	b6	1	1.971213018	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B06	03012018	B06	b6	0	0.302070943	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B07	03012018	B07	b6	1	0.518512136	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B08	03012018	B08	b6	1	0.414543694	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B09	03012018	B09	b6	1	1.478933321	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B10	03012018	B10	b6	1	0.994068749	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B11	03012018	B11	b6	1	1.727177159	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-B12	03012018	B12	b6	1	1.673822346	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C01	03012018	C01	b6	1	2.162686261	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C02	03012018	C02	b6	0	0.174338167	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C03	03012018	C03	b6	1	1.951934207	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C04	03012018	C04	b6	1	2.307664122	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C05	03012018	C05	b6	1	1.973689957	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C06	03012018	C06	b6	1	0.567308478	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C07	03012018	C07	b6	1	1.874903783	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C08	03012018	C08	b6	1	0.334257524	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C09	03012018	C09	b6	1	0.503286066	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C10	03012018	C10	b6	1	0.53141999	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C11	03012018	C11	b6	1	1.699229196	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-C12	03012018	C12	b6	1	2.152285482	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D01	03012018	D01	b6	1	2.169924976	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D02	03012018	D02	b6	1	1.579251744	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D03	03012018	D03	b6	1	1.635539248	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D04	03012018	D04	b6	1	0.98238767	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D05	03012018	D05	b6	1	2.049716853	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D06	03012018	D06	b6	1	1.301737047	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D07	03012018	D07	b6	1	0.410319966	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D08	03012018	D08	b6	1	0.285994956	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D09	03012018	D09	b6	1	1.750499123	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D10	03012018	D10	b6	1	1.316397478	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D11	03012018	D11	b6	1	2.430749363	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-D12	03012018	D12	b6	1	0.589168844	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E01	03012018	E01	b6	1	1.960353068	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E02	03012018	E02	b6	1	1.76771349	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E03	03012018	E03	b6	1	0.407592395	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E04	03012018	E04	b6	1	1.722249381	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E05	03012018	E05	b6	1	0.430340063	FALSE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E06	03012018	E06	b6	1	0.618152051	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E07	03012018	E07	b6	1	1.613917383	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E08	03012018	E08	b6	1	2.004949466	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E09	03012018	E09	b6	1	2.279814286	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E10	03012018	E10	b6	2	1.239796259	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E11	03012018	E11	b6	2	1.76514808	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-E12	03012018	E12	b6	1	2.178342187	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F01	03012018	F01	b6	1	2.360531161	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F02	03012018	F02	b6	1	1.376673324	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F03	03012018	F03	b6	1	2.341731042	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F04	03012018	F04	b6	1	2.721806862	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F05	03012018	F05	b6	0	0.381473116	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F06	03012018	F06	b6	1	1.3989425	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F07	03012018	F07	b6	1	0.638983516	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F08	03012018	F08	b6	2	1.371144862	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F09	03012018	F09	b6	1	0.92801148	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F10	03012018	F10	b6	1	1.789103119	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F11	03012018	F11	b6	1	1.245181295	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-F12	03012018	F12	b6	0	0.389286449	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G01	03012018	G01	b6	1	2.556798596	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G02	03012018	G02	b6	1	0.539418912	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G03	03012018	G03	b6	1	0.698302107	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G04	03012018	G04	b6	1	1.589639737	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G05	03012018	G05	b6	1	2.361565931	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G06	03012018	G06	b6	1	0.922363777	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G07	03012018	G07	b6	1	1.865053159	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G08	03012018	G08	b6	1	0.486785046	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G09	03012018	G09	b6	1	1.944822862	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G10	03012018	G10	b6	1	2.37417404	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G11	03012018	G11	b6	1	0.427399124	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-G12	03012018	G12	b6	1	2.530619693	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H01	03012018	H01	b6	1	1.543727558	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H02	03012018	H02	b6	1	1.769976141	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H03	03012018	H03	b6	1	0.648202586	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H04	03012018	H04	b6	1	0.766531544	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H05	03012018	H05	b6	1	0.330784715	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H06	03012018	H06	b6	1	0.74544359	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H07	03012018	H07	b6	1	1.669838524	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H08	03012018	H08	b6	1	2.16053362	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H09	03012018	H09	b6	1	0.26899872	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H10	03012018	H10	b6	1	2.138361382	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H11	03012018	H11	b6	1	2.369137716	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
03012018-H12	03012018	H12	b6	1	1.093058183	TRUE	NA18505	NA19159	NA19193	NA19203	0	0	50x dilution	4
