sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03232017-A01	03232017	A01	b1	1	1.337326295	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A02	03232017	A02	b1	1	1.356118778	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A03	03232017	A03	b1	1	1.534124459	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A04	03232017	A04	b1	1	1.446438877	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A05	03232017	A05	b1	1	1.218926043	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A06	03232017	A06	b1	1	1.349347546	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A07	03232017	A07	b1	1	1.406709313	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A08	03232017	A08	b1	1	1.409642337	FALSE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A09	03232017	A09	b1	1	1.193466474	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A10	03232017	A10	b1	0	0.128355987	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A11	03232017	A11	b1	1	1.290002083	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-A12	03232017	A12	b1	1	1.328286283	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B01	03232017	B01	b1	1	1.524684918	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B02	03232017	B02	b1	1	1.023194547	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B03	03232017	B03	b1	1	1.412702016	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B04	03232017	B04	b1	1	1.105663327	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B05	03232017	B05	b1	1	1.268073377	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B06	03232017	B06	b1	2	1.26565716	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B07	03232017	B07	b1	0	0.149834143	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B08	03232017	B08	b1	1	1.262304054	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B09	03232017	B09	b1	1	0.912603958	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B10	03232017	B10	b1	1	1.203064148	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B11	03232017	B11	b1	1	1.31442622	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-B12	03232017	B12	b1	1	1.552826664	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C01	03232017	C01	b1	1	0.838687126	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C02	03232017	C02	b1	0	0.071558114	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C03	03232017	C03	b1	1	1.520543485	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C04	03232017	C04	b1	1	1.336123328	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C05	03232017	C05	b1	1	0.593522776	FALSE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C06	03232017	C06	b1	1	0.363197118	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C07	03232017	C07	b1	2	1.306650956	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C08	03232017	C08	b1	1	0.517976334	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C09	03232017	C09	b1	1	0.825742792	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C10	03232017	C10	b1	1	1.601701408	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C11	03232017	C11	b1	1	1.176284409	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-C12	03232017	C12	b1	1	1.674536609	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D01	03232017	D01	b1	1	1.291311794	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D02	03232017	D02	b1	1	1.11240431	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D03	03232017	D03	b1	1	1.088604149	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D04	03232017	D04	b1	1	1.428287693	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D05	03232017	D05	b1	1	1.668130209	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D06	03232017	D06	b1	1	1.531249814	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D07	03232017	D07	b1	1	1.257779371	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D08	03232017	D08	b1	1	1.053087621	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D09	03232017	D09	b1	1	0.941851668	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D10	03232017	D10	b1	1	1.418917705	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D11	03232017	D11	b1	1	1.546969386	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-D12	03232017	D12	b1	1	1.302543372	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E01	03232017	E01	b1	1	0.192113608	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E02	03232017	E02	b1	1	1.499746529	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E03	03232017	E03	b1	1	1.55984408	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E04	03232017	E04	b1	0	0.104640815	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E05	03232017	E05	b1	1	1.754401189	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E06	03232017	E06	b1	1	1.548078572	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E07	03232017	E07	b1	1	1.181306981	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E08	03232017	E08	b1	1	1.522080742	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E09	03232017	E09	b1	1	1.590552327	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
03232017-E10	03232017	E10	b1	0	0.201508006	TRUE	NA18520	NA18502	NA18505	NA18852	5000	25000	Not added	3
