sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
02212018-A01	02212018	A01	b6	1	2.07632577	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A02	02212018	A02	b6	1	1.093718614	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A03	02212018	A03	b6	1	0.820521973	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A04	02212018	A04	b6	1	2.049269679	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A05	02212018	A05	b6	0	0.809052638	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A06	02212018	A06	b6	1	0.781140364	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A07	02212018	A07	b6	1	2.586547968	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A08	02212018	A08	b6	1	2.540664022	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A09	02212018	A09	b6	1	1.251992179	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A10	02212018	A10	b6	1	2.174563836	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A11	02212018	A11	b6	1	2.481858983	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-A12	02212018	A12	b6	1	1.984506769	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B01	02212018	B01	b6	0	0.284723053	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B02	02212018	B02	b6	1	1.89939081	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B03	02212018	B03	b6	1	3.510394897	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B04	02212018	B04	b6	1	1.357338937	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B05	02212018	B05	b6	1	2.005820195	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B06	02212018	B06	b6	1	1.83117118	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B07	02212018	B07	b6	1	1.61063809	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B08	02212018	B08	b6	1	2.438306017	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B09	02212018	B09	b6	1	2.474525891	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B10	02212018	B10	b6	1	1.991906512	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B11	02212018	B11	b6	1	2.868921956	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-B12	02212018	B12	b6	1	2.996622683	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C01	02212018	C01	b6	2	2.670149588	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C02	02212018	C02	b6	1	1.687206538	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C03	02212018	C03	b6	1	0.548354558	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C04	02212018	C04	b6	1	2.24739738	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C05	02212018	C05	b6	1	2.869269512	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C06	02212018	C06	b6	1	0.263569983	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C07	02212018	C07	b6	1	1.186304981	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C08	02212018	C08	b6	1	2.180277268	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C09	02212018	C09	b6	1	2.635158556	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C10	02212018	C10	b6	0	0.222568154	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C11	02212018	C11	b6	1	2.593639721	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-C12	02212018	C12	b6	0	0.40261283	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-D01	02212018	D01	b6	1	0.208131971	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
02212018-D02	02212018	D02	b6	1	0.968542985	TRUE	NA18505	NA18913	NA19098	NA19143	0	0	50x dilution	4
