sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
02222018-A01	02222018	A01	b6	1	2.441871174	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A02	02222018	A02	b6	1	2.241904448	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A03	02222018	A03	b6	1	2.512198385	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A04	02222018	A04	b6	1	0.666728681	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A05	02222018	A05	b6	1	2.653997686	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A06	02222018	A06	b6	1	2.426482502	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A07	02222018	A07	b6	1	2.061913247	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A08	02222018	A08	b6	0	0.164334145	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A09	02222018	A09	b6	1	1.885653432	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A10	02222018	A10	b6	1	2.560557706	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A11	02222018	A11	b6	1	2.040637321	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-A12	02222018	A12	b6	1	0.917900495	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B01	02222018	B01	b6	1	2.028188016	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B02	02222018	B02	b6	1	1.646722088	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B03	02222018	B03	b6	1	1.739983907	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B04	02222018	B04	b6	1	2.291223103	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B05	02222018	B05	b6	1	0	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B06	02222018	B06	b6	0	0.09037066	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B07	02222018	B07	b6	0	1.021996867	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B08	02222018	B08	b6	1	0.155843319	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B09	02222018	B09	b6	1	1.105622261	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B10	02222018	B10	b6	1	2.40686318	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B11	02222018	B11	b6	0	0.177436531	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-B12	02222018	B12	b6	1	2.687885699	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C01	02222018	C01	b6	1	2.588789765	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C02	02222018	C02	b6	1	3.243443583	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C03	02222018	C03	b6	1	1.480603286	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C04	02222018	C04	b6	1	3.295869006	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C05	02222018	C05	b6	1	0.635755075	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C06	02222018	C06	b6	1	2.623733747	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C07	02222018	C07	b6	1	3.118122769	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C08	02222018	C08	b6	1	2.292868872	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C09	02222018	C09	b6	1	2.915729562	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C10	02222018	C10	b6	2	0.672690763	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C11	02222018	C11	b6	1	2.982633941	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-C12	02222018	C12	b6	1	2.658079059	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D01	02222018	D01	b6	0	0.276468344	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D02	02222018	D02	b6	1	2.560678657	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D03	02222018	D03	b6	1	2.467652945	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D04	02222018	D04	b6	1	1.593099958	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D05	02222018	D05	b6	0	0.182509388	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D06	02222018	D06	b6	1	2.074605471	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D07	02222018	D07	b6	1	1.932852613	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D08	02222018	D08	b6	1	0.290187074	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D09	02222018	D09	b6	1	2.322100224	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
02222018-D10	02222018	D10	b6	1	0.616479505	TRUE	NA19130	NA19143	NA19159	NA19193	0	0	50x dilution	4
