sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
04052017-A01	04052017	A01	1	1.398906048	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A02	04052017	A02	1	1.046157129	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A03	04052017	A03	1	1.075400894	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A04	04052017	A04	1	0.014190994	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A05	04052017	A05	1	0.975212325	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A06	04052017	A06	1	1.458909606	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A07	04052017	A07	1	1.014357259	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A08	04052017	A08	1	1.769499952	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A09	04052017	A09	1	1.682839316	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A10	04052017	A10	1	1.459494359	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A11	04052017	A11	1	1.669900372	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-A12	04052017	A12	0	1.213105393	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B01	04052017	B01	1	0.383413954	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B02	04052017	B02	1	0.879884996	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B03	04052017	B03	1	0.796793681	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B04	04052017	B04	1	1.222516327	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B05	04052017	B05	1	0.173425192	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B06	04052017	B06	1	0.87512554	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B07	04052017	B07	0	0.151329834	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B08	04052017	B08	1	0.9235381	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B09	04052017	B09	1	1.275384939	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B10	04052017	B10	1	1.339874078	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B11	04052017	B11	1	0.930242095	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
04052017-B12	04052017	B12	1	0.667336623	TRUE	NA18502	NA18505	NA18520	NA18522	50000	50	NA	2
