sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
02262018-A01	02262018	A01	b6	1	0.821181189	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A02	02262018	A02	b6	1	0.835383776	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A03	02262018	A03	b6	1	0.811538263	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A04	02262018	A04	b6	1	0.565728778	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A05	02262018	A05	b6	1	1.0881921	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A06	02262018	A06	b6	1	0.231157422	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A07	02262018	A07	b6	1	0.938305983	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A08	02262018	A08	b6	1	0.558658931	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A09	02262018	A09	b6	1	0.756933262	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A10	02262018	A10	b6	1	0.925267294	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A11	02262018	A11	b6	1	1.005108417	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-A12	02262018	A12	b6	1	0.430712558	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B01	02262018	B01	b6	0	0.230446712	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B02	02262018	B02	b6	1	0.754127956	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B03	02262018	B03	b6	1	0.546447601	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B04	02262018	B04	b6	1	1.125467349	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B05	02262018	B05	b6	1	1.059340946	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B06	02262018	B06	b6	1	0.978221337	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B07	02262018	B07	b6	1	1.011049617	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B08	02262018	B08	b6	1	0.90150258	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B09	02262018	B09	b6	1	0.375319173	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B10	02262018	B10	b6	1	0.450964629	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B11	02262018	B11	b6	1	0.651402876	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-B12	02262018	B12	b6	1	0.414602059	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C01	02262018	C01	b6	1	1.011179373	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C02	02262018	C02	b6	1	1.250937736	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C03	02262018	C03	b6	1	0.916530971	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C04	02262018	C04	b6	1	1.052150631	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C05	02262018	C05	b6	1	0.959242258	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C06	02262018	C06	b6	1	0.942566896	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C07	02262018	C07	b6	1	1.021210443	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C08	02262018	C08	b6	1	1.012631081	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C09	02262018	C09	b6	1	1.033129257	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C10	02262018	C10	b6	1	0.238014396	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C11	02262018	C11	b6	1	1.1503635	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-C12	02262018	C12	b6	1	1.241091864	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D01	02262018	D01	b6	1	0.331276617	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D02	02262018	D02	b6	1	0.333477416	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D03	02262018	D03	b6	1	0.907136747	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D04	02262018	D04	b6	1	0.349927962	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D05	02262018	D05	b6	1	0.385781885	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D06	02262018	D06	b6	0	0.276620581	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D07	02262018	D07	b6	1	0.904540222	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D08	02262018	D08	b6	1	0.98330684	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D09	02262018	D09	b6	1	1.079953596	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D10	02262018	D10	b6	1	1.078526238	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D11	02262018	D11	b6	1	0.942228009	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-D12	02262018	D12	b6	1	1.090565264	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E01	02262018	E01	b6	1	0.435059854	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E02	02262018	E02	b6	1	1.214448446	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E03	02262018	E03	b6	1	1.020320435	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E04	02262018	E04	b6	1	0.949094857	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E05	02262018	E05	b6	1	0.957734895	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E06	02262018	E06	b6	1	0.578436145	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E07	02262018	E07	b6	2	0.58382962	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E08	02262018	E08	b6	1	0.636382371	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E09	02262018	E09	b6	1	0.360758915	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E10	02262018	E10	b6	1	0.755873873	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E11	02262018	E11	b6	1	0.877887326	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-E12	02262018	E12	b6	0	0.183640383	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F01	02262018	F01	b6	1	0.273602997	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F02	02262018	F02	b6	1	0.589523205	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F03	02262018	F03	b6	1	0.966262051	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F04	02262018	F04	b6	1	1.298840509	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F05	02262018	F05	b6	1	1.13982935	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F06	02262018	F06	b6	1	1.097481685	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F07	02262018	F07	b6	1	0.942509638	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F08	02262018	F08	b6	1	0.451168548	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F09	02262018	F09	b6	1	0.412228326	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F10	02262018	F10	b6	1	0.675754474	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F11	02262018	F11	b6	1	1.257195212	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-F12	02262018	F12	b6	1	1.067324966	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G01	02262018	G01	b6	1	0.741923597	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G02	02262018	G02	b6	1	0.784745378	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G03	02262018	G03	b6	1	0.883165336	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G04	02262018	G04	b6	1	0.325759564	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G05	02262018	G05	b6	1	1.076030069	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G06	02262018	G06	b6	1	1.011765826	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G07	02262018	G07	b6	1	0.493169799	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G08	02262018	G08	b6	1	0.468062754	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G09	02262018	G09	b6	1	1.090250187	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G10	02262018	G10	b6	1	0.756963283	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G11	02262018	G11	b6	1	1.011803142	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-G12	02262018	G12	b6	1	0.917203902	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-H01	02262018	H01	b6	2	0.659288643	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-H02	02262018	H02	b6	1	0.888499606	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-H03	02262018	H03	b6	1	0.628074899	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-H04	02262018	H04	b6	1	0.446839211	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-H05	02262018	H05	b6	1	0.904452092	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
02262018-H06	02262018	H06	b6	1	1.10670468	TRUE	NA18517	NA18913	NA19098	NA19203	0	0	50x dilution	4
