sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
08232017-A01	08232017	A01	1	1.604737463	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A02	08232017	A02	1	0.420515651	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A03	08232017	A03	1	1.684118476	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A04	08232017	A04	1	1.892499435	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A05	08232017	A05	1	1.569243364	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A06	08232017	A06	1	1.293666454	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A07	08232017	A07	1	0.263556711	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A08	08232017	A08	1	0.371557848	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A09	08232017	A09	1	1.787401965	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A10	08232017	A10	1	1.775561226	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A11	08232017	A11	1	0.370651889	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-A12	08232017	A12	1	1.334156279	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B01	08232017	B01	1	1.656598638	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B02	08232017	B02	1	1.694632146	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B03	08232017	B03	1	0.413880243	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B04	08232017	B04	1	1.79364385	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B05	08232017	B05	1	1.477117123	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B06	08232017	B06	1	1.362444776	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B07	08232017	B07	1	1.631467733	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B08	08232017	B08	1	1.727504787	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B09	08232017	B09	1	1.352413011	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
08232017-B10	08232017	B10	1	1.696350845	TRUE	NA18862	NA19128	NA19210	NA18499	0	0	50x dilution	3
