experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	ERCC	index
09252017	A01	1	1.687579487	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A02	0	0.121414142	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A03	1	2.213132519	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A04	1	0.985682477	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A05	1	1.728674204	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A06	1	1.251604387	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A07	1	2.649744373	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A08	1	0.252540165	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A09	1	1.52069684	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A10	1	1.206292758	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A11	1	0.151797852	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	A12	1	2.702200142	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B01	1	1.011426131	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B02	1	2.261284615	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B03	2	1.50053285	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B04	1	2.165392089	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B05	1	2.260294441	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B06	1	1.584052268	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B07	1	1.854227896	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B08	1	1.566426895	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B09	1	1.446377197	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B10	2	1.314931446	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B11	1	1.409526029	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	B12	2	2.912866503	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C01	1	2.243275913	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C02	1	1.797104896	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C03	1	1.996631303	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C04	1	1.715825666	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C05	1	2.263846485	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C06	1	0.146022138	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C07	1	0.282611244	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C08	1	1.809768117	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C09	1	2.51104975	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C10	1	1.699729148	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C11	1	2.164367372	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	C12	1	2.292530477	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D01	1	1.364863458	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D02	1	1.515821414	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D03	2	0.759773031	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D04	1	1.460287029	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D05	1	2.37985596	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D06	1	2.642919985	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D07	1	0.687463164	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D08	1	1.936036776	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D09	1	2.094009225	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D10	1	2.103879051	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D11	0	0.121474788	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	D12	1	2.069510716	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E01	1	0.458164719	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E02	1	1.904597086	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E03	1	0.448487411	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E04	1	1.979046859	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E05	1	2.139890511	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E06	1	1.505933134	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E07	1	1.738485866	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E08	1	1.125631348	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
09252017	E09	1	0.515644718	1	NA18858	NA18861	NA19114	NA19238	1:50000	1
