sample	chip_id	chipmix	freemix	snps	reads	avg_dp	min_dp	snps_w_min
04202017-E08_S1112	NA18856	0.42995	0.27346	311848	705	0.00	1	470
04202017-E09_S1113	NA19190	0.21100	0.08830	311848	2766	0.01	1	1289
04202017-E10_S1114	NA18856	0.18702	0.08405	311848	1770	0.01	1	894
04202017-E11_S1115	NA18498	0.46464	0.17064	311848	372	0.00	1	285
04202017-E12_S1116	NA18508	0.09687	0.08049	311848	3950	0.01	1	1814
04202017-F01_S1117	NA18508	0.27875	0.10933	311848	3692	0.01	1	1885
04202017-F02_S1118	NA18862	0.26431	0.12106	311848	3219	0.01	1	1643
04202017-F03_S1119	NA18498	0.08671	0.05335	311848	3862	0.01	1	1850
04202017-F04_S1120	NA18856	0.17195	0.13910	311848	1612	0.01	1	1141
04202017-F05_S1121	NA18856	0.30261	0.12557	311848	790	0.00	1	453
04202017-F06_S1122	NA19190	0.25506	0.14540	311848	1962	0.01	1	1006
04202017-F07_S1123	NA19190	0.77352	0.25980	311848	832	0.00	1	569
04202017-F08_S1124	NA18856	0.27292	0.09376	311848	4546	0.01	1	2123
04202017-F09_S1125	NA18862	0.12533	0.07445	311848	4020	0.01	1	1800
04202017-F10_S1126	NA18856	0.26326	0.12157	311848	3330	0.01	1	1491
04202017-F11_S1127	NA18511	0.63103	0.35617	311848	252	0.00	1	191
04202017-F12_S1128	NA18856	0.19868	0.08138	311848	3378	0.01	1	1531
04202017-G01_S1129	NA18856	0.33287	0.15311	311848	5009	0.02	1	2241
04202017-G02_S1130	NA18508	0.53175	0.22912	311848	4456	0.01	1	2052
04202017-G03_S1131	NA18498	0.09770	0.09841	311848	3281	0.01	1	1556
04202017-G04_S1132	NA18508	0.22427	0.14121	311848	3577	0.01	1	1771
04202017-G05_S1133	NA19190	0.39146	0.19673	311848	3698	0.01	1	1767
04202017-G06_S1134	NA18862	0.22803	0.11569	311848	2172	0.01	1	1049
04202017-G07_S1135	NA18508	0.67652	0.08007	311848	706	0.00	1	516
04202017-G08_S1136	NA18856	0.23381	0.10494	311848	3208	0.01	1	1356
04202017-G09_S1137	NA18508	0.48705	0.19541	311848	1250	0.00	1	731
04202017-G10_S1138	NA18856	0.45959	0.20365	311848	4746	0.02	1	2092
04202017-G11_S1139	NA18488	0.62392	0.08220	311848	259	0.00	1	200
04202017-G12_S1140	NA18498	0.19611	0.11177	311848	3389	0.01	1	1660
04202017-H01_S1141	NA18913	0.24976	0.00000	311848	69	0.00	1	59
04202017-H02_S1142	NA18858	0.48950	0.49992	311848	58	0.00	1	54
04202017-H03_S1143	NA18508	0.62053	0.00000	311848	84	0.00	1	70
04202017-H04_S1144	NA19190	0.36856	0.14576	311848	633	0.00	1	372
04202017-H05_S1145	NA18508	0.08554	0.09371	311848	2237	0.01	1	1084
04202017-H06_S1146	NA18508	0.56745	0.15442	311848	3632	0.01	1	1659
04202017-H07_S1147	NA18862	0.40769	0.18176	311848	571	0.00	1	385
04202017-H08_S1148	NA18508	0.58985	0.49992	311848	597	0.00	1	435
04202017-H09_S1149	NA18508	0.33766	0.22701	311848	621	0.00	1	429
04202017-H10_S1150	NA18862	0.05130	0.04007	311848	1906	0.01	1	908
04202017-H11_S1151	NA18519	0.60452	0.49995	311848	198	0.00	1	148
04202017-H12_S1152	NA18508	0.54565	0.49992	311848	191	0.00	1	147
