sample	chip_id	chipmix	freemix	snps	reads	avg_dp	min_dp	snps_w_min
04072017-H10_S574	NA19092	0.77127	0.09681	311848	4785	0.02	1	1972
04072017-H11_S575	NA19257	0.72539	0.18567	311848	506	0.00	1	404
04072017-H12_S576	NA18502	0.31304	0.21835	311848	210	0.00	1	160
04132017-A01_S865	NA18862	0.14555	0.08012	311848	2093	0.01	1	1184
04132017-A02_S866	NA18862	0.16805	0.07778	311848	1636	0.01	1	864
04132017-A03_S867	NA18852	0.13475	0.08122	311848	1455	0.00	1	808
04132017-A04_S868	NA18874	0.82584	0.00000	311848	580	0.00	1	505
04132017-A05_S869	NA18852	0.14564	0.06963	311848	2621	0.01	1	1272
04132017-A06_S870	NA18498	0.22633	0.09829	311848	2146	0.01	1	1163
04132017-A07_S871	NA18862	0.52745	0.00000	311848	537	0.00	1	409
04132017-A08_S872	NA19203	0.76451	0.00000	311848	546	0.00	1	430
04132017-A09_S873	NA19203	0.18245	0.06712	311848	2841	0.01	1	1528
04132017-A10_S874	NA18852	0.47918	0.00000	311848	640	0.00	1	526
04132017-A11_S875	NA18852	0.10924	0.03896	311848	3095	0.01	1	1529
04132017-A12_S876	NA18520	0.16929	0.08548	311848	3206	0.01	1	1712
04132017-B01_S877	NA18520	0.47558	0.30049	311848	3847	0.01	1	1875
04132017-B02_S878	NA18923	0.58328	0.06696	311848	240	0.00	1	194
04132017-B03_S879	NA18862	0.26948	0.09348	311848	2261	0.01	1	1242
04132017-B04_S880	NA18523	0.91739	0.08568	311848	1793	0.01	1	1076
04132017-B05_S881	NA18520	0.12745	0.06416	311848	3029	0.01	1	1561
04132017-B06_S882	NA19117	0.49995	0.17413	311848	199	0.00	1	153
04132017-B07_S883	NA18862	0.46898	0.09307	311848	730	0.00	1	592
04132017-B08_S884	NA18520	0.33011	0.19735	311848	1815	0.01	1	1134
04132017-B09_S885	NA18852	0.59575	0.49992	311848	334	0.00	1	260
04132017-B10_S886	NA18852	0.32846	0.00000	311848	590	0.00	1	380
04132017-B11_S887	NA18852	0.16702	0.03659	311848	2418	0.01	1	1265
04132017-B12_S888	NA18520	0.06292	0.08385	311848	3589	0.01	1	1798
04132017-C01_S889	NA18520	0.14063	0.06997	311848	2387	0.01	1	1209
04132017-C02_S890	NA19203	0.33097	0.18868	311848	3061	0.01	1	1658
04132017-C03_S891	NA18862	0.24713	0.12654	311848	3685	0.01	1	1944
04132017-C04_S892	NA18862	0.16177	0.04875	311848	856	0.00	1	530
04132017-C05_S893	NA18520	0.16084	0.08443	311848	3979	0.01	1	2044
04132017-C06_S894	NA18498	0.25301	0.07706	311848	2548	0.01	1	1295
04132017-C07_S895	NA18862	0.09291	0.06405	311848	2898	0.01	1	1449
04132017-C08_S896	NA19203	0.37314	0.22139	311848	3322	0.01	1	1700
04132017-C09_S897	NA18520	0.63429	0.25744	311848	503	0.00	1	392
04132017-C10_S898	NA18852	0.17033	0.14693	311848	2141	0.01	1	1156
04132017-C11_S899	NA18498	0.16858	0.14486	311848	3214	0.01	1	1646
04132017-C12_S900	NA18862	0.22032	0.10346	311848	2264	0.01	1	1320
04132017-D01_S901	NA18852	0.28994	0.03628	311848	2038	0.01	1	1134
04132017-D02_S902	NA18862	0.39328	0.00000	311848	744	0.00	1	552
04132017-D03_S903	NA18862	0.24160	0.03309	311848	2339	0.01	1	1191
04132017-D04_S904	NA18522	0.48459	0.26098	311848	276	0.00	1	229
04132017-D05_S905	NA18520	0.12524	0.09950	311848	4428	0.01	1	2162
04132017-D06_S906	NA18862	0.20526	0.10730	311848	2491	0.01	1	1210
04132017-D07_S907	NA19203	0.17403	0.06464	311848	2232	0.01	1	1166
04132017-D08_S908	NA19203	0.46200	0.12835	311848	3324	0.01	1	1595
04132017-D09_S909	NA19203	0.56583	0.19103	311848	2775	0.01	1	1401
04132017-D10_S910	NA19203	0.18319	0.07558	311848	2870	0.01	1	1589
04132017-D11_S911	NA18862	0.64678	0.00000	311848	163	0.00	1	140
04132017-D12_S912	NA18852	0.18101	0.00000	311848	512	0.00	1	413
04132017-E01_S913	NA18852	0.23015	0.03697	311848	2275	0.01	1	1149
04132017-E02_S914	NA18852	0.40386	0.21247	311848	861	0.00	1	690
04132017-E03_S915	NA18520	0.15744	0.14635	311848	2294	0.01	1	1101
04132017-E04_S916	NA19203	0.14171	0.08768	311848	2595	0.01	1	1352
04132017-E05_S917	NA19203	0.10758	0.05804	311848	3970	0.01	1	1897
04132017-E06_S918	NA18520	0.06489	0.07823	311848	2255	0.01	1	1225
04132017-E07_S919	NA18862	0.33796	0.29313	311848	1057	0.00	1	624
04132017-E08_S920	NA18520	0.53930	0.21011	311848	3461	0.01	1	1763
04132017-E09_S921	NA18498	0.47363	0.24704	311848	3472	0.01	1	1829
04132017-E10_S922	NA18862	0.14912	0.03739	311848	1757	0.01	1	950
04132017-E11_S923	NA19203	0.08134	0.00000	311848	2507	0.01	1	1318
04132017-E12_S924	NA18862	0.31397	0.17183	311848	4877	0.02	1	2276
04132017-F01_S925	NA18498	0.13227	0.15074	311848	2269	0.01	1	1298
04132017-F02_S926	NA18862	0.31369	0.06575	311848	652	0.00	1	462
04132017-F03_S927	NA19203	0.47878	0.25181	311848	3953	0.01	1	1843
04132017-F04_S928	NA18498	0.13453	0.07735	311848	2881	0.01	1	1513
04132017-F05_S929	NA18862	0.47413	0.04713	311848	2040	0.01	1	1114
04132017-F06_S930	NA19203	0.15068	0.09188	311848	2976	0.01	1	1510
04132017-F07_S931	NA18856	0.74786	0.00000	311848	372	0.00	1	310
04132017-F08_S932	NA18862	0.41963	0.11382	311848	1843	0.01	1	1054
04132017-F09_S933	NA19203	0.17642	0.04811	311848	4087	0.01	1	2129
04132017-F10_S934	NA18862	0.47726	0.49991	311848	683	0.00	1	493
04132017-F11_S935	NA18862	0.18891	0.07100	311848	1828	0.01	1	955
04132017-F12_S936	NA18852	0.10655	0.03744	311848	2378	0.01	1	1220
04132017-G01_S937	NA18520	0.10528	0.10322	311848	2518	0.01	1	1262
04132017-G02_S938	NA18862	0.51761	0.22072	311848	4690	0.02	1	2421
04132017-G03_S939	NA19144	0.92077	0.05366	311848	2085	0.01	1	1078
04132017-G04_S940	NA18502	0.60536	0.49992	311848	166	0.00	1	144
04132017-G05_S941	NA18862	0.11558	0.01824	311848	1872	0.01	1	1103
04132017-G06_S942	NA18862	0.09620	0.05470	311848	3491	0.01	1	1806
04132017-G07_S943	NA18520	0.39498	0.00000	311848	508	0.00	1	449
04132017-G08_S944	NA18520	0.11001	0.10571	311848	2911	0.01	1	1601
04132017-G09_S945	NA19203	0.23518	0.05460	311848	2101	0.01	1	1140
04132017-G10_S946	NA18520	0.15624	0.13340	311848	4456	0.01	1	2228
04132017-G11_S947	NA18852	0.19956	0.13203	311848	1825	0.01	1	1099
04132017-G12_S948	NA18504	0.61981	0.49992	311848	234	0.00	1	199
04132017-H01_S949	NA18520	0.30613	0.17602	311848	2217	0.01	1	1286
04132017-H02_S950	NA19203	0.63776	0.00000	311848	506	0.00	1	422
04132017-H03_S951	NA19203	0.25466	0.07771	311848	1936	0.01	1	1004
04132017-H04_S952	NA18516	0.60025	0.49995	311848	234	0.00	1	198
04132017-H05_S953	NA18520	0.52136	0.49992	311848	497	0.00	1	388
04132017-H06_S954	NA18852	0.44024	0.49992	311848	290	0.00	1	247
04132017-H07_S955	NA18520	0.13981	0.09671	311848	3130	0.01	1	1559
04132017-H08_S956	NA18862	0.08929	0.06986	311848	4425	0.01	1	2218
04132017-H09_S957	NA18852	0.57274	0.02576	311848	787	0.00	1	636
04132017-H10_S958	NA18870	0.53557	0.00000	311848	142	0.00	1	110
04132017-H11_S959	NA18862	0.26618	0.00142	311848	1536	0.00	1	826
04132017-H12_S960	NA18498	0.12167	0.08430	311848	1896	0.01	1	1085
04142017-A01_S673	NA18862	0.65743	0.18979	311848	1041	0.00	1	716
04142017-A02_S674	NA18907	0.48874	0.00334	311848	349	0.00	1	278
04142017-A03_S675	NA18520	0.13404	0.06877	311848	4442	0.01	1	2000
04142017-A04_S676	NA18862	0.11316	0.05611	311848	5760	0.02	1	2570
04142017-A05_S677	NA18520	0.17293	0.07842	311848	3581	0.01	1	1530
