experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	ERCC	index
10302017	F03	1	1.39329235	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F04	1	0.270243049	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F05	1	1.127924324	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F06	1	0.538256501	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F07	1	0.890212755	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F08	1	0.286616648	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F09	2	0.453620242	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F10	1	0.19828558	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F11	1	0.237687897	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F12	1	0.266589659	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G01	1	0.474562603	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G02	1	0.388954783	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G03	1	0.777646088	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G04	1	3.035741753	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G05	1	2.16528174	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G06	1	1.51790961	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G07	2	1.94333356	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G08	1	2.177514179	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G09	2	0.603077825	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G10	1	1.419355893	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G11	1	0.521624395	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	G12	1	0.487259862	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H01	1	0.334103818	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H02	1	0.753882938	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H03	2	2.168993388	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H04	1	1.50806781	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H05	2	0.315513542	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H06	1	0.648434395	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H07	1	0.467595678	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H08	1	0.254971008	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H09	1	0.302590054	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H10	1	2.205014602	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H11	1	0.536001943	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	H12	1	0.252760331	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
11022017	A01	1	2.358166482	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A02	1	0.394804466	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A03	1	0.570986936	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A04	1	2.468115626	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A05	0	0.288265633	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A06	1	0.400876945	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A07	1	2.172137146	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A08	1	1.019129869	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A09	1	0.259576904	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A10	1	1.821981404	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A11	1	1.803313831	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	A12	1	1.124656402	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B01	1	2.957956291	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B02	1	2.059001924	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B03	1	2.320581058	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B04	1	2.168512767	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B05	1	2.146745667	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B06	1	1.847258642	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B07	2	0.963770626	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B08	1	0.660311105	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B09	1	0.553010882	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B10	1	2.640964802	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B11	1	2.293556871	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	B12	1	0.622527198	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C01	1	2.472073847	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C02	1	1.901998522	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C03	1	1.652852819	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C04	1	1.427394464	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C05	1	1.218370315	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C06	1	1.196008374	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C07	1	2.175982413	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C08	1	2.617720009	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C09	1	2.000042667	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C10	1	2.089755192	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C11	1	1.758738087	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	C12	1	2.804640409	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D01	1	1.994379054	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D02	1	3.058005997	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D03	1	0.593138036	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D04	1	1.239938152	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D05	1	1.434618578	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D06	1	2.532919086	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D07	1	2.128485095	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D08	1	0.803185893	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D09	1	1.460282454	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D10	1	2.132209262	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D11	1	1.090624103	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	D12	1	1.610270167	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E01	1	1.69202339	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E02	1	1.955128137	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E03	1	1.304896573	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E04	2	2.888570026	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E05	1	1.994237629	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E06	1	0.184159729	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E07	1	2.587961544	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E08	2	1.538112754	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E09	1	2.343008571	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E10	1	0.439665412	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E11	1	1.907947861	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	E12	1	0.382689919	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F01	1	4.008402467	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F02	2	2.623587542	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F03	1	3.750765901	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F04	1	2.98271193	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F05	1	2.829396098	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F06	1	0.801361339	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F07	1	3.194765821	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F08	1	2.343992304	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F09	1	0.57039172	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F10	1	2.550560162	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F11	1	3.272003677	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	F12	1	2.211669705	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G01	1	0.659766173	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G02	1	0.687209114	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G03	1	0.954915358	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G04	1	1.829242082	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G05	1	2.729093063	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G06	1	3.490268028	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G07	1	2.793274023	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G08	1	1.221697385	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G09	1	2.546732239	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G10	1	2.447152508	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G11	1	1.864857337	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	G12	1	2.859436697	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H01	1	3.558645633	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H02	1	0.279996649	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H03	1	1.004605982	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H04	1	3.068539376	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H05	1	0.426757287	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H06	1	2.910332979	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H07	1	0.05901148	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H08	1	0	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H09	1	0	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H10	1	0.052911522	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H11	1	0	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11022017	H12	1	0	1	NA19152	NA19160	NA19206	NA19207	1:50000	4
11032017	A01	1	3.868742379	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A02	1	2.707227977	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A03	1	3.397607554	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A04	1	1.201455205	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A05	1	1.589066682	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A06	1	2.604879252	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A07	2	1.733253697	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A08	1	2.983241001	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A09	1	1.290902621	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A10	1	4.34249495	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A11	1	4.118367082	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	A12	1	3.528290322	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B01	1	2.697076773	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B02	1	3.429264601	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B03	1	3.48934037	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B04	1	2.689777567	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B05	2	2.05727839	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
