sample	experiment	well	id	raw	umi	mapped	unmapped	reads_ce	reads_dm	reads_ercc	reads_hs	molecules	mol_ce	mol_dm	mol_ercc	mol_hs
04142017-G06_S750	04142017	G06	S750	935416	622358	528541	93817	1922	2868	48282	475469	52984	523	598	2524	49339
03162017-F01_S253	03162017	F01	S253	181791	95106	58470	36636	192	3131	3	55144	10272	55	486	2	9729
04132017-D02_S902	04132017	D02	S902	480843	314405	248853	65552	384	45709	59029	143731	18480	96	2835	2623	12926
03172017-C10_S418	03172017	C10	S418	234908	148051	123020	25031	239	90545	25	32211	8906	66	3903	25	4912
04202017-B11_S1079	04202017	B11	S1079	435729	295177	213427	81750	403	19771	3596	189657	37455	238	2108	249	34860
04202017-C12_S1092	04202017	C12	S1092	476667	322163	258470	63693	852	22949	3617	231052	29942	156	2056	255	27475
04202017-A05_S1061	04202017	A05	S1061	155707	100712	81616	19096	505	37483	4814	38814	10650	110	2453	277	7810
04142017-B06_S690	04142017	B06	S690	403287	264684	209469	55215	3288	4443	61294	140444	16956	402	384	2410	13760
04202017-A12_S1068	04202017	A12	S1068	727496	494523	391253	103270	385	32235	5593	353040	37086	222	2426	309	34129
04072017-H04_S568	04072017	H04	S568	1150166	568105	438681	129424	408	17412	14414	406447	47067	248	1554	776	44489
03232017-A04_S580	03232017	A04	S580	631508	364795	295868	68927	1884	5834	46	288104	52813	401	1143	45	51224
03302017-E08_S824	03302017	E08	S824	562099	374668	299343	75325	1354	5114	61	292814	29322	256	628	60	28378
04052017-F11_S359	04052017	F11	S359	890930	556902	452361	104541	422	15631	0	436308	47893	153	1708	0	46032
03172017-C05_S413	03172017	C05	S413	1462429	977617	759925	217692	635	42543	57	716690	72319	372	3949	51	67947
03162017-H01_S277	03162017	H01	S277	82425	46181	32143	14038	76	2193	0	29874	9820	29	654	0	9137
03232017-G10_S658	03232017	G10	S658	864700	472770	380544	92226	3228	6046	47	371223	70264	645	1311	47	68261
04072017-B01_S493	04072017	B01	S493	1356087	710290	563641	146649	723	15924	12925	534069	55368	351	1555	707	52755
03232017-D10_S622	03232017	D10	S622	610191	340456	270042	70414	1168	5043	42	263789	56994	363	1092	41	55498
04132017-G08_S944	04132017	G08	S944	752624	473375	386932	86443	4744	27312	44914	309962	36674	324	2500	2501	31349
03302017-G06_S846	03302017	G06	S846	367180	244600	194690	49910	821	3638	39	190192	27445	217	589	37	26602
04072017-A04_S484	04072017	A04	S484	1299871	692185	531914	160271	386	14610	10339	506579	65505	292	2043	701	62469
03312017-H12_S1056	03312017	H12	S1056	973495	476742	366339	110403	3168	2270	61	360840	40559	516	488	59	39496
03232017-B12_S600	03232017	B12	S600	602056	313319	249333	63986	2293	5973	44	241023	44981	420	1098	42	43421
03232017-C07_S607	03232017	C07	S607	606298	329123	264401	64722	889	3748	33	259731	60891	346	1047	32	59466
03232017-B10_S598	03232017	B10	S598	953081	560704	447346	113358	1498	6520	59	439269	70526	490	1229	59	68748
04072017-B05_S497	04072017	B05	S497	1367725	741983	567429	174554	497	15113	12246	539573	58580	358	1536	658	56028
03232017-A03_S579	03232017	A03	S579	574303	327582	263392	64190	1102	6537	28	255725	39848	314	1094	27	38413
04072017-C11_S515	04072017	C11	S515	1491289	816309	634917	181392	497	16938	14870	602612	57299	368	1583	687	54661
04132017-D03_S903	04132017	D03	S903	771709	473589	395137	78452	466	110732	46085	237854	35777	164	8652	2534	24427
04052017-H02_S374	04052017	H02	S374	770088	447384	357482	89902	258	10081	0	347143	53438	179	1684	0	51575
03162017-G01_S265	03162017	G01	S265	276071	150904	92042	58862	112	5522	0	86408	15451	80	806	0	14565
03302017-C09_S801	03302017	C09	S801	593978	400531	319321	81210	1188	4888	46	313199	33688	273	618	45	32752
04142017-E05_S725	04142017	E05	S725	364806	247450	203352	44098	2517	4893	62663	133279	15784	306	365	2456	12657
03302017-D02_S806	03302017	D02	S806	327589	222259	156713	65546	2337	8334	37	146005	11777	233	549	36	10959
03162017-F12_S264	03162017	F12	S264	858452	584553	455691	128862	681	26801	0	428209	41639	266	2326	0	39047
03302017-D03_S807	03302017	D03	S807	653216	447983	362069	85914	991	3807	89	357182	45663	290	640	85	44648
03312017-A01_S961	03312017	A01	S961	794909	463987	374914	89073	2967	2027	32	369888	37331	440	356	31	36504
04132017-D11_S911	04132017	D11	S911	221703	142616	125929	16687	307	50839	60427	14356	8905	49	3012	2675	3169
04072017-B08_S500	04072017	B08	S500	1315585	696974	549034	147940	474	18473	14079	516008	50508	307	1598	703	47900
04142017-C01_S697	04142017	C01	S697	894124	606383	482518	123865	3675	2305	35175	441363	61660	565	575	2287	58233
04052017-A09_S297	04052017	A09	S297	506154	308225	246805	61420	120	7798	1	238886	40001	72	1468	1	38460
04132017-C02_S890	04132017	C02	S890	766722	501118	393462	107656	3286	27995	43754	318427	39032	263	2641	2563	33565
04202017-G11_S1139	04202017	G11	S1139	54655	31642	27109	4533	100	16520	2044	8445	4882	39	2163	262	2418
03312017-C05_S989	03312017	C05	S989	1318646	788588	627490	161098	2149	2128	69	623144	70030	581	609	67	68773
04202017-A04_S1060	04202017	A04	S1060	558446	376650	302843	73807	272	14553	2542	285476	46165	198	2135	278	43554
03172017-B08_S404	03172017	B08	S404	1196539	792797	623540	169257	428	48600	84	574428	56062	276	3998	80	51708
04142017-E12_S732	04142017	E12	S732	994290	695460	580974	114486	4504	3009	47800	525661	56964	572	512	2455	53425
03232017-H10_S670	03232017	H10	S670	34165	15253	11352	3901	1549	6677	31	3095	2940	261	1091	31	1557
04072017-G07_S559	04072017	G07	S559	670930	300363	220581	79782	310	14752	9981	195538	29787	169	1491	717	27410
04072017-D10_S526	04072017	D10	S526	1142960	594341	457405	136936	624	22849	14866	419066	40420	274	1587	676	37883
04142017-A10_S682	04142017	A10	S682	1023640	679678	546851	132827	4577	4397	63628	474249	47616	592	595	2608	43821
04072017-F07_S547	04072017	F07	S547	972099	494270	365542	128728	450	18727	14707	331658	37927	293	1504	746	35384
03302017-C05_S797	03302017	C05	S797	647613	424069	335778	88291	1625	6866	52	327235	30680	357	712	52	29559
03162017-F08_S260	03162017	F08	S260	45723	20483	12426	8057	27	2245	0	10154	2929	14	432	0	2483
03232017-D01_S613	03232017	D01	S613	950445	535503	407566	127937	1071	5073	34	401388	76778	417	1172	31	75158
03312017-A10_S970	03312017	A10	S970	826138	494001	395889	98112	1408	1365	91	393025	52633	415	443	86	51689
04202017-G01_S1129	04202017	G01	S1129	508474	341640	275180	66460	335	7616	1493	265736	61243	210	1887	274	58872
03232017-E03_S627	03232017	E03	S627	733463	404223	326481	77742	2885	5680	67	317849	58925	520	1126	63	57216
04132017-B04_S880	04132017	B04	S880	580908	368092	311520	56572	377	37627	50616	222900	26916	140	2800	2576	21400
04052017-D10_S334	04052017	D10	S334	225311	124855	101120	23735	84	3853	0	97183	27023	67	1086	0	25870
03312017-B06_S978	03312017	B06	S978	1078765	619033	509816	109217	5088	2992	77	501659	46166	571	525	73	44997
03162017-G09_S273	03162017	G09	S273	168720	89324	51460	37864	155	4485	0	46820	9941	78	704	0	9159
03172017-E04_S436	03172017	E04	S436	627868	414639	301241	113398	344	86514	40	214343	21382	160	3940	40	17242
03172017-H04_S472	03172017	H04	S472	270063	167574	140680	26894	277	97461	59	42883	9291	78	3663	55	5495
03312017-F09_S1029	03312017	F09	S1029	1475972	852653	670762	181891	1627	1863	61	667211	101387	577	670	61	100079
04052017-E04_S340	04052017	E04	S340	903048	559470	451378	108092	349	34353	0	416676	47343	192	3497	0	43654
03232017-E04_S628	03232017	E04	S628	35648	16824	11444	5380	1516	6991	8	2929	3054	235	1021	8	1790
