sample	experiment	well	id	raw	umi	mapped	unmapped	reads_ce	reads_dm	reads_ercc	reads_hs	molecules	mol_ce	mol_dm	mol_ercc	mol_hs
04202017-F02_S1118	04202017	F02	S1118	476126	325430	253285	72145	331	14034	2326	236594	40641	204	2058	256	38123
03162017-H05_S281	03162017	H05	S281	249058	87921	61577	26344	317	44199	0	17061	7008	78	2503	0	4427
04052017-F04_S352	04052017	F04	S352	651811	394315	315752	78563	1987	10285	0	303480	44772	222	1621	0	42929
04202017-E12_S1116	04202017	E12	S1116	416541	288902	237074	51828	218	10058	1804	224994	46069	178	1904	255	43732
04142017-G02_S746	04142017	G02	S746	760953	536568	415289	121279	5972	2371	36279	370667	54983	608	491	2341	51543
04142017-F06_S738	04142017	F06	S738	1009153	668737	549839	118898	2522	3317	53773	490227	51738	567	583	2538	48050
03232017-F02_S638	03232017	F02	S638	758469	411672	324161	87511	1906	9663	32	312560	42832	402	1189	30	41211
03302017-D08_S812	03302017	D08	S812	243486	166719	124237	42482	1236	5754	22	117225	11727	195	568	22	10942
04142017-D06_S714	04142017	D06	S714	1101392	745132	599753	145379	4227	2551	36857	556118	72078	664	606	2385	68423
03162017-C12_S228	03162017	C12	S228	1061358	773321	568315	205006	535	60261	0	507519	34979	260	2686	0	32033
03302017-E12_S828	03302017	E12	S828	346533	231908	169501	62407	1807	7702	61	159931	13401	229	639	57	12476
04132017-C07_S895	04132017	C07	S895	458775	294356	240046	54310	236	15193	23824	200793	32192	95	2127	2159	27811
04142017-C10_S706	04142017	C10	S706	543935	371806	309454	62352	2927	1928	30653	273946	40059	407	393	2300	36959
03302017-F05_S833	03302017	F05	S833	980171	645957	512619	133338	1776	7938	122	502783	43144	348	831	115	41850
04202017-E08_S1112	04202017	E08	S1112	140904	96669	78963	17706	143	14372	2319	62129	11921	65	1863	260	9733
04202017-A09_S1065	04202017	A09	S1065	375261	246322	184602	61720	1955	35399	5288	141960	17731	171	2370	300	14890
04132017-A08_S872	04132017	A08	S872	320759	198524	164505	34019	2628	37329	50587	73961	13761	167	2733	2522	8339
04132017-H06_S954	04132017	H06	S954	234053	130834	108888	21946	381	37561	41590	29356	10833	74	3041	2613	5105
04052017-A02_S290	04052017	A02	S290	339768	214305	169864	44441	175	13817	0	155872	21160	95	1560	0	19505
04142017-C05_S701	04142017	C05	S701	541315	373670	295109	78561	4151	2798	43719	244441	32119	497	497	2345	28780
03232017-G11_S659	03232017	G11	S659	807151	458719	359189	99530	1182	8290	54	349663	52685	368	1226	52	51039
03172017-G09_S465	03172017	G09	S465	965564	654597	501314	153283	473	40884	41	459916	48128	244	3461	39	44384
04202017-D10_S1102	04202017	D10	S1102	217412	130805	105087	25718	116	4842	666	99463	36360	84	1585	190	34501
03312017-D03_S999	03312017	D03	S999	1179410	656279	526323	129956	2654	2332	69	521268	52648	438	607	63	51540
04072017-B03_S495	04072017	B03	S495	990622	482337	363967	118370	506	19145	14423	329893	34266	253	1476	713	31824
03162017-C03_S219	03162017	C03	S219	1195660	837237	646320	190917	490	46556	1	599273	45226	287	2709	1	42229
04202017-H11_S1151	04202017	H11	S1151	95157	57240	48807	8433	101	30522	4614	13570	4746	42	2110	265	2329
03172017-D09_S429	03172017	D09	S429	986406	654969	528837	126132	603	52991	55	475188	46465	301	3865	52	42247
04132017-F10_S934	04132017	F10	S934	349396	223459	175186	48273	247	37124	47461	90354	16234	74	2720	2604	10836
04202017-D04_S1096	04202017	D04	S1096	309484	212007	168870	43137	750	14816	2601	150703	25077	146	1946	267	22718
03162017-A06_S198	03162017	A06	S198	959959	695800	506452	189348	2928	34548	0	468976	47887	342	2838	0	44707
03312017-E10_S1018	03312017	E10	S1018	975400	584672	457160	127512	4885	2561	49	449665	43909	534	488	45	42842
03302017-G10_S850	03302017	G10	S850	317756	211201	171383	39818	639	3078	51	167615	26040	219	582	49	25190
03232017-G07_S655	03232017	G07	S655	710410	376590	303847	72743	1511	4287	49	298000	69218	453	1115	48	67602
04132017-D01_S901	04132017	D01	S901	881400	548971	421777	127194	2633	50360	65208	303576	33203	272	3184	2625	27122
04052017-E10_S346	04052017	E10	S346	251004	143405	93067	50338	300	33678	5	59084	10008	75	1570	1	8362
04142017-E01_S721	04142017	E01	S721	869060	583232	477477	105755	4036	1940	30070	441431	63906	607	577	2190	60532
03232017-E02_S626	03232017	E02	S626	890814	502379	386326	116053	3518	9059	54	373695	55672	576	1332	49	53715
04052017-A11_S299	04052017	A11	S299	494138	312236	246020	66216	176	8261	2	237581	38728	108	1440	2	37178
03162017-H06_S282	03162017	H06	S282	271208	103756	71734	32022	1086	36028	0	34620	7257	88	2243	0	4926
04072017-D02_S518	04072017	D02	S518	157469	77810	48510	29300	163	20517	11693	16137	5676	33	1381	681	3581
03172017-C01_S409	03172017	C01	S409	628113	419642	327870	91772	456	73771	46	253597	25440	173	4000	44	21223
04202017-A03_S1059	04202017	A03	S1059	695879	463014	380397	82617	436	18592	3097	358272	48610	235	2208	260	45907
03312017-F07_S1027	03312017	F07	S1027	1525567	865932	687349	178583	2578	2489	92	682190	72382	598	652	86	71046
04132017-A07_S871	04132017	A07	S871	316277	201501	166496	35005	305	36320	48099	81772	14379	91	2739	2553	8996
03172017-H10_S478	03172017	H10	S478	983700	644668	504445	140223	557	44986	63	458839	45373	251	3618	58	41446
03312017-H04_S1048	03312017	H04	S1048	856106	425287	333761	91526	2262	2138	68	329293	46310	463	432	49	45366
04072017-A03_S483	04072017	A03	S483	1328314	725459	573476	151983	671	12020	10336	550449	64939	403	1527	628	62381
03302017-G03_S75	03302017	G03	S75	267584	183792	146369	37423	1066	4748	26	140529	16222	199	563	26	15434
04202017-F05_S1121	04202017	F05	S1121	174996	118586	93314	25272	105	20829	2971	69409	11544	48	2098	273	9125
03172017-C03_S411	03172017	C03	S411	1165105	736488	577603	158885	538	31263	59	545743	71200	326	3871	56	66947
04072017-G03_S555	04072017	G03	S555	1190112	581867	447065	134802	430	13834	10487	422314	53662	264	1453	657	51288
03232017-B08_S596	03232017	B08	S596	919763	510021	411198	98823	1288	6720	50	403140	69339	455	1299	47	67538
03302017-D11_S815	03302017	D11	S815	336652	246235	192505	53730	1343	6535	36	184591	19963	230	639	24	19070
03232017-A09_S585	03232017	A09	S585	838249	495458	385275	110183	3110	7456	40	374669	59323	533	1272	39	57479
04052017-D07_S331	04052017	D07	S331	85857	53655	45090	8565	40	31157	0	13893	4478	25	1842	0	2611
04052017-H04_S376	04052017	H04	S376	902428	573919	475209	98710	381	27208	0	447620	38990	193	2023	0	36774
04052017-D05_S329	04052017	D05	S329	591964	372118	287711	84407	274	12087	0	275350	35724	146	1478	0	34100
03232017-F04_S640	03232017	F04	S640	902254	541831	423351	118480	1983	9957	33	411378	52107	453	1199	33	50422
04142017-H07_S763	04142017	H07	S763	581177	352977	269560	83417	6013	4740	76024	182783	20866	528	395	2523	17420
03302017-D05_S809	03302017	D05	S809	295647	199705	146621	53084	2003	10641	24	133953	12857	203	538	23	12093
04072017-F08_S548	04072017	F08	S548	101378	47866	32605	15261	78	15506	8718	8303	7757	38	1518	729	5472
03232017-E11_S635	03232017	E11	S635	490680	260638	203320	57318	1573	6275	14	195458	43357	359	1130	13	41855
03232017-B11_S599	03232017	B11	S599	585261	321535	255445	66090	1827	10226	71	243321	35293	379	1211	69	33634
04052017-B02_S302	04052017	B02	S302	515904	324381	263033	61348	272	9305	0	253456	35759	112	1430	0	34217
04072017-E12_S540	04072017	E12	S540	1155264	619194	493785	125409	435	16758	11954	464638	48988	301	1504	646	46537
04132017-G03_S939	04132017	G03	S939	610172	386806	315059	71747	271	34261	50759	229768	27126	119	2582	2572	21853
03232017-C09_S609	03232017	C09	S609	774473	382703	299536	83167	1389	3246	56	294845	89521	505	1150	51	87815
04052017-H10_S382	04052017	H10	S382	872258	531975	432074	99901	338	13759	0	417977	47587	197	1665	0	45725
03232017-F05_S641	03232017	F05	S641	923445	519375	399159	120216	1887	9169	49	388054	53840	439	1262	48	52091
03232017-H06_S666	03232017	H06	S666	704286	370142	288071	82071	1240	6529	40	280262	53545	430	1255	40	51820
03232017-C12_S612	03232017	C12	S612	816781	437466	360892	76574	3156	16546	38	341152	49116	482	2213	37	46384
04142017-B01_S685	04142017	B01	S685	296670	196337	174091	22246	2333	3621	48180	119957	14810	318	302	2332	11858
04202017-H05_S1145	04202017	H05	S1145	145523	81978	64180	17798	63	4856	748	58513	22543	49	1568	196	20730
04202017-F10_S1126	04202017	F10	S1126	395534	277354	224400	52954	210	12166	2253	209771	34597	152	1908	266	32271
03312017-F08_S1028	03312017	F08	S1028	1058553	609938	477302	132636	2817	2953	73	471459	45718	479	483	68	44688
04142017-F03_S735	04142017	F03	S735	486864	317212	257315	59897	2042	2165	26482	226626	40597	386	522	2184	37505
03162017-B10_S214	03162017	B10	S214	911365	665241	525217	140024	3299	37886	0	484032	41025	344	2634	0	38047
03172017-G03_S459	03172017	G03	S459	1503368	1003875	772475	231400	609	48955	83	722828	67894	360	4011	80	63443
04072017-G10_S562	04072017	G10	S562	1005792	474348	350307	124041	477	19586	12966	317278	36405	232	1451	695	34027
03312017-B10_S982	03312017	B10	S982	1010670	606766	496450	110316	1728	1958	81	492683	63044	505	565	73	61901
04072017-H02_S566	04072017	H02	S566	374701	174916	109680	65236	114	20597	11532	77437	13421	87	1399	718	11217
04072017-C02_S506	04072017	C02	S506	1671348	932539	694315	238224	644	15464	12953	665254	68489	315	1619	689	65866
04142017-B03_S687	04142017	B03	S687	196627	102042	73403	28639	1888	1446	16973	53096	23249	361	362	1928	20598
04132017-B06_S882	04132017	B06	S882	184686	116332	107505	8827	146	46193	48356	12810	8445	41	3341	2558	2505
04142017-H12_S768	04142017	H12	S768	1442677	933863	769766	164097	2639	3865	57591	705671	66250	573	647	2365	62665
04072017-E01_S529	04072017	E01	S529	1038581	538914	404330	134584	458	19860	15216	368796	39839	266	1463	736	37374
03172017-E10_S442	03172017	E10	S442	1019838	683031	546230	136801	343	42301	120	503466	50516	228	3806	115	46367
04052017-G12_S372	04052017	G12	S372	484113	302926	247753	55173	1594	5826	1	240332	43484	226	1283	1	41974
04132017-B11_S887	04132017	B11	S887	674431	418648	339723	78925	331	33664	48847	256881	31256	177	2682	2541	25856
03232017-D08_S620	03232017	D08	S620	822450	427475	334934	92541	960	4467	44	329463	73634	427	1207	43	71957
04202017-H02_S1142	04202017	H02	S1142	6043	1756	1011	745	9	98	10	894	807	8	65	9	725
04202017-E07_S1111	04202017	E07	S1111	60084	41045	35699	5346	60	18185	2827	14627	5493	33	2082	273	3105
04052017-B12_S312	04052017	B12	S312	413104	255374	202137	53237	147	5684	0	196306	41291	103	1403	0	39785
04142017-C02_S698	04142017	C02	S698	755972	520312	439127	81185	2740	2685	42377	391325	45558	430	495	2333	42300
03172017-E05_S437	03172017	E05	S437	997018	667071	516068	151003	385	42181	50	473452	48149	247	3673	45	44184
04142017-G11_S755	04142017	G11	S755	510925	272990	226266	46724	1872	1585	23498	199311	38064	372	373	2224	35095
04132017-D05_S905	04132017	D05	S905	1050128	632118	516247	115871	3810	43529	43217	425691	52612	348	4309	2470	45485
04052017-E01_S337	04052017	E01	S337	1213710	710123	539198	170925	1672	15652	2	521872	64936	317	1931	2	62686
03172017-D08_S428	03172017	D08	S428	384638	255029	205755	49274	498	64173	36	141048	17412	97	3709	35	13571
03302017-D09_S813	03302017	D09	S813	472129	326116	269994	56122	3625	3015	31	263323	36430	362	607	30	35431
04202017-E10_S1114	04202017	E10	S1114	243037	166204	133977	32227	222	16612	2346	114797	19506	92	2020	239	17155
03312017-C02_S986	03312017	C02	S986	506371	291096	220591	70505	3094	3391	57	214049	20648	387	378	57	19826
03302017-H02_S854	03302017	H02	S854	838785	501741	399030	102711	2274	7930	47	388779	32449	342	651	46	31410
04132017-B10_S886	04132017	B10	S886	337107	207383	166625	40758	272	42447	54752	69154	13719	97	2766	2573	8283
03162017-H02_S278	03162017	H02	S278	188668	88876	59772	29104	123	12383	0	47266	8416	63	1330	0	7023
04202017-F08_S1124	04202017	F08	S1124	573928	387760	312907	74853	293	9355	1731	301528	56745	202	1937	258	54348
04142017-F10_S742	04142017	F10	S742	859309	581689	492243	89446	2377	4104	60266	425496	40168	434	584	2518	36632
03302017-F07_S835	03302017	F07	S835	920063	601186	484470	116716	1828	7186	251	475205	42929	376	912	210	41431
03312017-G12_S1044	03312017	G12	S1044	843066	402266	303656	98610	3407	2880	72	297297	34259	477	482	70	33230
04132017-C03_S891	04132017	C03	S891	956914	603096	494849	108247	351	27835	44322	422341	46399	245	2670	2497	40987
04142017-G09_S753	04142017	G09	S753	470821	320399	259292	61107	4703	4055	68261	182273	19810	378	392	2411	16629
04072017-A12_S492	04072017	A12	S492	1144623	607299	486740	120559	357	15094	12344	458945	48234	245	1505	658	45826
03172017-D05_S425	03172017	D05	S425	329512	213053	169356	43697	589	94134	29	74604	16367	96	3986	29	12256
03172017-C02_S410	03172017	C02	S410	1356187	885782	669046	216736	525	34971	73	633477	72441	294	3896	72	68179
03162017-A05_S197	03162017	A05	S197	218762	155413	129345	26068	459	63283	0	65603	9864	106	2789	0	6969
04132017-E09_S921	04132017	E09	S921	583413	367859	299468	68391	1063	18822	28126	251457	40272	211	2541	2450	35070
03162017-G12_S276	03162017	G12	S276	403597	265085	217566	47519	391	36583	0	180592	17661	112	2208	0	15341
03312017-G05_S1037	03312017	G05	S1037	1052575	558332	445122	113210	3306	2528	64	439224	43159	521	473	57	42108
04142017-C03_S699	04142017	C03	S699	675190	464726	390234	74492	4140	2495	37341	346258	41898	535	489	2260	38614
03302017-C04_S796	03302017	C04	S796	744245	499104	391721	107383	1472	5365	105	384779	38369	379	722	97	37171
03162017-C10_S226	03162017	C10	S226	1622701	1152010	864939	287071	5022	80173	2	779742	53883	442	3547	2	49892
03162017-F02_S254	03162017	F02	S254	64387	30188	15782	14406	41	2797	0	12944	5315	31	805	0	4479
04132017-B07_S883	04132017	B07	S883	465742	300422	243544	56878	301	45499	58929	138815	17770	91	2856	2565	12258
03232017-F06_S642	03232017	F06	S642	921466	511801	422674	89127	1293	19035	96	402250	79162	499	2566	89	76008
04132017-G04_S940	04132017	G04	S940	145372	95338	89157	6181	196	38246	42906	7809	7741	42	2895	2510	2294
04072017-A07_S487	04072017	A07	S487	1219559	669308	537113	132195	393	13707	10561	512452	55466	213	1547	667	53039
04132017-F12_S936	04132017	F12	S936	694753	431671	351976	79695	290	36093	56213	259380	30083	165	2628	2592	24698
04142017-A06_S678	04142017	A06	S678	719774	481647	404929	76718	3869	3081	46504	351475	37259	461	445	2326	34027
03162017-D10_S238	03162017	D10	S238	697918	437588	328667	108921	494	19898	0	308275	40043	196	2370	0	37477
04052017-A08_S296	04052017	A08	S296	535848	327265	237674	89591	178	10498	1	226997	32486	129	1462	1	30894
03302017-C11_S803	03302017	C11	S803	499692	329920	269447	60473	1064	5225	72	263086	28812	271	643	70	27828
03232017-B04_S592	03232017	B04	S592	752620	408202	319639	88563	1519	8531	34	309555	46307	416	1298	34	44559
04142017-A12_S684	04142017	A12	S684	735478	494116	398456	95660	4926	5240	70709	317581	33039	550	557	2504	29428
04072017-D07_S523	04072017	D07	S523	1007598	548684	426461	122223	512	22339	14079	389531	38572	249	1567	677	36079
04132017-B05_S881	04132017	B05	S881	781515	487418	395905	91513	3813	30256	45163	316673	38537	317	2735	2624	32861
04132017-E05_S917	04132017	E05	S917	654424	411086	330109	80977	3118	20958	28543	277490	43771	294	2908	2343	38226
04202017-D05_S1097	04202017	D05	S1097	1071152	731056	582799	148257	641	21928	4165	556065	62618	332	2348	285	59653
03172017-H01_S469	03172017	H01	S469	170869	111758	83954	27804	152	18875	43	64884	14766	45	2892	43	11786
03312017-D09_S1005	03312017	D09	S1005	1411843	778750	609738	169012	2834	1839	76	604989	75656	595	525	72	74464
03162017-B04_S208	03162017	B04	S208	168108	109810	90170	19640	188	61213	1	28768	7164	85	2849	1	4229
04132017-E03_S915	04132017	E03	S915	515889	332433	284176	48257	2834	28228	38607	214507	26442	199	2404	2282	21557
03302017-H05_S857	03302017	H05	S857	696473	391596	313472	78124	1118	4940	38	307376	39268	323	695	38	38212
04202017-A07_S1063	04202017	A07	S1063	362159	254313	204786	49527	1906	20007	3482	179391	24232	201	2059	272	21700
03302017-F04_S832	03302017	F04	S832	832944	530785	427100	103685	5984	8895	65	412156	33864	451	778	65	32570
03312017-E08_S1016	03312017	E08	S1016	919157	539277	440728	98549	2376	2541	30	435781	42347	432	451	30	41434
03162017-B07_S211	03162017	B07	S211	922793	670699	529371	141328	468	37687	1	491215	39627	264	2404	1	36958
03232017-D09_S621	03232017	D09	S621	687922	374279	283873	90406	1596	4264	30	277983	72536	446	1141	30	70919
04072017-B12_S504	04072017	B12	S504	1008863	506290	412288	94002	390	9133	7418	395347	55270	232	1364	629	53045
04142017-B11_S695	04142017	B11	S695	798427	541561	449914	91647	3051	2229	34842	409792	56360	536	568	2368	52888
03162017-B08_S212	03162017	B08	S212	381240	270675	204883	65792	407	63306	0	141170	11690	89	2355	0	9246
04142017-A01_S673	04142017	A01	S673	444743	287250	226818	60432	3188	4367	54961	164302	18769	365	441	2293	15670
03232017-H08_S668	03232017	H08	S668	425184	207910	160376	47534	2522	8198	16	149640	26412	398	1132	16	24866
03162017-E09_S249	03162017	E09	S249	84938	37024	21814	15210	74	3196	0	18544	4489	22	482	0	3985
04132017-C08_S896	04132017	C08	S896	890098	557208	463626	93582	2377	35434	52593	373222	39108	257	2725	2558	33568
04202017-C10_S1090	04202017	C10	S1090	590890	401915	327084	74831	434	29004	4521	293125	33099	188	2317	295	30299
04142017-F07_S739	04142017	F07	S739	338914	222473	190556	31917	4367	4556	82577	99056	16766	413	404	2658	13291
04132017-H03_S951	04132017	H03	S951	705115	429233	341637	87596	3736	42759	64227	230915	26134	264	2662	2694	20514
03232017-E08_S632	03232017	E08	S632	761144	404872	316537	88335	3473	6537	39	306488	57334	555	1193	36	55550
04142017-A02_S674	04142017	A02	S674	243800	159843	125278	34565	2850	4123	59807	58498	8751	308	307	2326	5810
03172017-B09_S405	03172017	B09	S405	894350	588006	455095	132911	473	29447	39	425136	55774	258	3518	38	51960
03162017-A09_S201	03162017	A09	S201	996152	710958	556407	154551	510	31389	3	524505	47473	250	2580	3	44640
04202017-D01_S1093	04202017	D01	S1093	483547	330686	260325	70361	2879	25540	4415	227491	27926	252	2096	277	25301
04142017-B10_S694	04142017	B10	S694	761512	526722	438698	88024	2390	2854	41133	392321	48027	471	546	2328	44682
04202017-E02_S1106	04202017	E02	S1106	302859	214119	176880	37239	180	10950	1959	163791	30607	97	1944	257	28309
04072017-G12_S564	04072017	G12	S564	159116	66430	44783	21647	117	16106	8702	19858	7560	44	1441	689	5386
04052017-C09_S321	04052017	C09	S321	329139	212382	154784	57598	111	20306	2	134365	14587	61	1595	1	12930
04072017-C01_S505	04072017	C01	S505	1481291	819074	603950	215124	498	16223	13512	573717	58503	288	1541	709	55965
04052017-A04_S292	04052017	A04	S292	577402	329130	246817	82313	168	3570	0	243079	68606	108	1206	0	67292
03172017-A03_S387	03172017	A03	S387	1463925	907032	673347	233685	529	25830	75	646913	87790	370	3781	72	83567
03162017-E02_S242	03162017	E02	S242	285575	160122	106157	53965	237	3555	0	102365	17433	97	656	0	16680
04132017-H08_S956	04132017	H08	S956	933512	580231	477364	102867	547	24965	37843	414009	49542	239	2690	2487	44126
04142017-B04_S688	04142017	B04	S688	397597	271317	217486	53831	3896	3306	48831	161453	21374	444	395	2248	18287
04202017-A06_S1062	04202017	A06	S1062	695179	457857	374590	83267	488	32950	5659	335493	38169	272	2717	325	34855
03162017-D04_S232	03162017	D04	S232	834716	576139	429729	146410	480	58495	0	370754	30468	257	2895	0	27316
03232017-F09_S645	03232017	F09	S645	42289	19303	12214	7089	1963	8467	13	1771	2629	260	1043	13	1313
03162017-C11_S227	03162017	C11	S227	796149	562042	447013	115029	568	56943	5	389497	27482	231	2680	3	24568
04142017-F01_S733	04142017	F01	S733	380202	250024	199123	50901	7221	4415	75045	112442	13956	452	349	2464	10691
04142017-E04_S724	04142017	E04	S724	687800	463364	383038	80326	1300	2124	31045	348569	51402	471	530	2326	48075
03172017-H09_S477	03172017	H09	S477	985015	674341	499535	174806	454	71396	61	427624	35890	196	3875	57	31762
04052017-F01_S349	04052017	F01	S349	1196418	687979	503984	183995	444	13229	2	490309	70818	251	2125	2	68440
03312017-D12_S1008	03312017	D12	S1008	1441893	797487	644596	152891	2130	2892	79	639495	77953	605	705	73	76570
04072017-F12_S552	04072017	F12	S552	1474479	762543	592928	169615	534	12689	10462	569243	71003	319	1549	666	68469
03162017-G11_S275	03162017	G11	S275	120339	68319	56411	11908	155	42059	0	14197	5218	71	2317	0	2830
03232017-G06_S654	03232017	G06	S654	730034	420095	335830	84265	1089	5219	47	329475	63842	359	1118	42	62323
04052017-D11_S335	04052017	D11	S335	603841	389556	317065	72491	193	11152	0	305720	40967	92	1581	0	39294
04052017-G01_S361	04052017	G01	S361	670575	396559	310922	85637	810	7448	0	302664	58641	224	1625	0	56792
04142017-D04_S712	04142017	D04	S712	338785	223241	180604	42637	2414	3860	56057	118273	14876	329	382	2412	11753
03172017-A04_S388	03172017	A04	S388	1428401	940887	744085	196802	689	59910	65	683421	59417	316	4198	61	54842
03232017-E09_S633	03232017	E09	S633	815338	453103	344127	108976	1740	7967	24	334396	53136	464	1268	24	51380
04202017-D11_S1103	04202017	D11	S1103	620844	432920	339639	93281	1756	28411	4624	304848	36212	275	2327	278	33332
03162017-B03_S207	03162017	B03	S207	1941708	1366437	1062859	303578	5081	47942	2	1009834	67770	599	3116	1	64054
03312017-F01_S1021	03312017	F01	S1021	943997	553505	452435	101070	2935	2915	67	446518	41325	498	433	64	40330
04142017-E06_S726	04142017	E06	S726	697422	478152	395253	82899	3181	2690	42002	347380	42221	468	534	2369	38850
04202017-B08_S1076	04202017	B08	S1076	256436	176458	146168	30290	176	12771	2229	130992	23240	95	1911	261	20973
04132017-B09_S885	04132017	B09	S885	191727	118511	107710	10801	113	37177	49578	20842	9369	50	2647	2582	4090
04132017-H11_S959	04132017	H11	S959	529095	301190	240762	60428	325	36622	47091	156724	22918	129	2661	2436	17692
03232017-G12_S660	03232017	G12	S660	919114	487268	392303	94965	3247	5873	60	383123	70382	615	1305	52	68410
03172017-H06_S474	03172017	H06	S474	877840	566830	451732	115098	365	48859	86	402422	43492	176	3955	84	39277
04202017-B07_S1075	04202017	B07	S1075	57746	33914	25820	8094	285	6523	884	18128	7485	58	1564	205	5658
04202017-E06_S1110	04202017	E06	S1110	131085	92272	76540	15732	45	13183	2093	61219	11897	31	1860	247	9759
04072017-F03_S543	04072017	F03	S543	1169115	588778	439137	149641	491	18953	14625	405068	45401	263	1547	718	42873
04132017-H02_S950	04132017	H02	S950	444140	257490	198681	58809	1530	39177	48621	109353	17633	149	2808	2636	12040
03232017-H02_S662	03232017	H02	S662	752236	433798	336821	96977	1816	8678	29	326298	44669	414	1160	29	43066
04072017-G05_S557	04072017	G05	S557	1157058	551847	424575	127272	601	18502	12638	392834	42980	303	1429	638	40610
03172017-E09_S441	03172017	E09	S441	857588	592134	468664	123470	537	39910	58	428159	42721	207	3367	55	39092
04142017-G04_S748	04142017	G04	S748	883965	582129	490463	91666	3077	2534	38101	446751	54958	548	600	2286	51524
03302017-B11_S791	03302017	B11	S791	436418	297180	233514	63666	897	3481	49	229087	30641	254	595	49	29743
04072017-E09_S537	04072017	E09	S537	1323315	695322	505959	189363	458	21500	15511	468490	50726	283	1740	767	47936
03162017-C02_S218	03162017	C02	S218	1614471	1136026	862966	273060	6400	46801	1	809764	56204	473	2756	1	52974
03302017-C03_S795	03302017	C03	S795	217656	143063	109112	33951	1692	8626	35	98759	9003	188	529	35	8251
04132017-G10_S946	04132017	G10	S946	687484	416466	336754	79712	4071	15824	23331	293528	52182	399	2673	2384	46726
04072017-G04_S556	04072017	G04	S556	1207140	617929	488431	129498	416	13457	10549	464009	54547	251	1465	670	52161
03162017-G04_S268	03162017	G04	S268	975343	693636	535636	158000	534	39687	1	495414	36910	260	2393	1	34256
04072017-G09_S561	04072017	G09	S561	1154900	599908	457107	142801	503	15138	10847	430619	54336	267	1573	674	51822
03162017-G10_S274	03162017	G10	S274	173844	99827	77438	22389	242	58448	2	18746	5411	78	2380	1	2952
04202017-C07_S1087	04202017	C07	S1087	640190	445058	366214	78844	350	16601	2971	346292	47459	179	2192	274	44814
04052017-F08_S356	04052017	F08	S356	123401	72371	56471	15900	245	36652	0	19574	5795	48	1956	0	3791
04202017-F04_S1120	04202017	F04	S1120	375913	262204	202663	59541	334	17555	3103	181671	30404	159	1963	247	28035
04072017-F01_S541	04072017	F01	S541	1225863	649515	492225	157290	521	21178	15430	455096	46500	358	1598	690	43854
04052017-G02_S362	04052017	G02	S362	589322	343957	266596	77361	195	6877	1	259523	55843	132	1675	1	54035
03302017-B06_S786	03302017	B06	S786	160202	103258	71012	32246	1871	8355	23	60763	6020	177	496	23	5324
04072017-E11_S539	04072017	E11	S539	1191677	629893	477148	152745	532	14863	9990	451763	53402	254	1470	621	51057
04052017-C05_S317	04052017	C05	S317	688587	420032	321676	98356	1771	8900	0	311005	48205	256	1471	0	46478
04142017-A11_S683	04142017	A11	S683	1141347	750919	623930	126989	6286	4528	68359	544757	50085	626	703	2666	46090
04052017-E11_S347	04052017	E11	S347	653731	405803	326763	79040	337	18336	0	308090	32744	172	1582	0	30990
03232017-A07_S583	03232017	A07	S583	430063	237225	189866	47359	923	5281	84	183578	36818	299	1065	54	35400
03232017-D05_S617	03232017	D05	S617	553315	304263	243486	60777	954	5019	60	237453	47919	308	1056	53	46502
04132017-E01_S913	04132017	E01	S913	630784	388869	317717	71152	256	35817	51251	230393	28162	122	2523	2521	22996
03232017-A06_S582	03232017	A06	S582	650366	372719	299635	73084	1260	5852	31	292492	52624	377	1124	29	51094
03172017-H08_S476	03172017	H08	S476	726033	483660	366482	117178	380	68282	32	297788	31029	192	4060	32	26745
04202017-H09_S1149	04202017	H09	S1149	176849	114428	90539	23889	143	19524	3380	67492	10867	60	1852	257	8698
04142017-A07_S679	04142017	A07	S679	654322	430799	349652	81147	2749	4954	51558	290391	30204	451	560	2279	26914
03302017-H01_S853	03302017	H01	S853	1274336	801166	626038	175128	3184	10787	89	611978	48901	465	1020	86	47330
03162017-C05_S221	03162017	C05	S221	1295364	925088	697561	227527	531	55786	0	641244	43484	319	2817	0	40348
03172017-D02_S422	03172017	D02	S422	1278688	849290	669465	179825	739	51127	111	617488	55210	323	3726	97	51064
04142017-G05_S749	04142017	G05	S749	213133	144263	131341	12922	4957	5618	94807	25959	7284	354	315	2606	4009
03162017-E10_S250	03162017	E10	S250	417639	265448	205509	59939	239	55480	2	149788	15173	124	2651	2	12396
03232017-H01_S661	03232017	H01	S661	310472	133872	70279	63593	4450	9793	16	56020	11794	420	1121	16	10237
03312017-G11_S1043	03312017	G11	S1043	1053461	562765	434899	127866	5619	2668	72	426540	45717	580	536	69	44532
04052017-F10_S358	04052017	F10	S358	961296	563774	447405	116369	332	9334	0	437739	67057	196	1599	0	65262
04052017-B04_S304	04052017	B04	S304	588232	374708	301942	72766	171	13561	1	288209	36351	113	1704	1	34533
04142017-E07_S727	04142017	E07	S727	519236	346434	283747	62687	1954	1191	16333	264269	56223	421	470	2001	53331
03312017-B01_S973	03312017	B01	S973	275783	120559	78801	41758	4399	2790	42	71570	8920	420	267	39	8194
04072017-D05_S521	04072017	D05	S521	1412310	734493	576536	157957	508	17072	13716	545240	54693	332	1529	732	52100
04142017-F05_S737	04142017	F05	S737	992713	680739	563823	116916	3926	2675	41279	515943	61620	600	583	2348	58089
