experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	ERCC	index
08102017	A01	1	6.590395097	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A02	1	3.275307786	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A03	1	0.170739424	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A04	1	4.595051104	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A05	1	1.143043652	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A06	1	2.130712163	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A07	1	6.750122834	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A08	2	4.784163722	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A09	1	4.404832066	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A10	1	3.295621761	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A11	1	3.650131418	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	A12	1	4.245915375	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B01	1	4.728034504	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B02	1	2.5450974	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B03	1	3.526801543	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B04	1	1.05834325	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B05	1	2.647256657	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B06	1	4.251987656	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B07	1	3.733029562	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B08	1	3.988722751	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B09	1	2.445308446	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B10	1	3.820047507	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B11	1	2.080048873	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	B12	1	2.51548721	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C01	1	4.501006586	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C02	1	2.63515357	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C03	1	1.699119132	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C04	1	1.313971659	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C05	1	4.565820416	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C06	1	2.12484751	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C07	1	2.367299487	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C08	1	0.639538231	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C09	1	1.863191894	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C10	1	3.561301298	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C11	1	3.617646826	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	C12	1	2.635263929	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D01	2	1.671327599	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D02	1	3.614092746	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D03	1	3.724207047	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D04	1	2.691966105	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D05	1	3.299357861	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D06	1	2.196333799	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D07	1	0.082012135	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D08	1	1.906691301	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D09	1	0.821731524	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D10	1	3.885429599	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D11	1	3.192925326	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	D12	1	2.503139449	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	E01	1	1.058057968	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	E02	1	1.647837781	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	E03	1	1.526621452	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	E04	1	2.431208668	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	E05	1	1.071345789	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
08102017	E06	1	0.16543892	1	NA18501	NA18507	NA18499	NA19257	1:50000	2
