experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	ERCC	index
02192018	A01	1	0.777191442	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A02	1	0.3722799	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A03	1	1.429864549	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A04	1	1.990741222	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A05	1	2.545412397	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A06	1	2.30055034	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A07	1	2.010185958	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A08	1	0.46684045	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A09	1	2.508064127	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A10	1	1.817215218	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A11	1	1.995452208	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	A12	1	2.993226083	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B01	1	0.955943601	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B02	1	0.539250114	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B03	1	2.516461422	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B04	1	0.651622628	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B05	1	0.614476727	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B06	1	1.497293164	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B07	1	1.65900148	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B08	1	0.494632092	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B09	1	2.022678588	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B10	2	2.069455321	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B11	1	2.207391626	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	B12	1	2.57632275	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C01	1	0.669874688	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C02	1	0.790620496	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C03	1	2.63371017	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C04	1	0.240278412	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C05	1	2.768022737	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C06	1	1.920319341	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C07	1	2.622584509	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C08	0	0.215337088	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C09	1	1.461170225	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C10	1	2.011268737	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C11	1	0.739912969	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	C12	1	2.777015405	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D01	1	2.490344771	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D02	1	1.729260824	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D03	1	1.712893364	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D04	1	1.787318015	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D05	1	2.815014466	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D06	1	0.505945674	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D07	1	0.649817486	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D08	1	0.308054263	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D09	1	0.510441497	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D10	1	2.605117203	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D11	1	1.753192056	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	D12	1	2.628877071	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E01	1	2.666582695	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E02	1	1.979806911	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E03	1	2.594231322	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E04	1	1.042989575	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E05	1	1.03684496	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E06	1	0.448475794	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E07	1	2.768256178	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E08	1	1.240495513	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E09	1	2.649608647	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E10	1	1.878645715	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E11	1	1.137354482	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	E12	1	2.180166232	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F01	1	2.696336474	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F02	1	2.080247874	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F03	1	1.275406885	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F04	1	2.557048046	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F05	2	1.155656347	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F06	1	0.248853468	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F07	1	2.370701215	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F08	1	0.722613544	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F09	1	1.206549615	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F10	2	2.320854452	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F11	1	1.841253914	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	F12	1	0.6113353	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	G01	0	0.282367989	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	G02	1	1.967825084	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	G03	1	2.145542604	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	G04	1	0.32958017	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	G05	1	2.648015826	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
02192018	G06	1	2.70440556	1	NA18517	NA18913	NA19193	NA19210	1:50000	4
