experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03162017	G09	1	0.168319735	1	19098	18522	18505	18520	50000	50	NA	1
03162017	G10	0	0.181263442	1	19098	18522	18505	18520	50000	50	NA	1
03162017	G11	0	0.177060916	1	19098	18522	18505	18520	50000	50	NA	1
03162017	G12	1	0.550171126	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H01	1	0.224391599	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H02	1	0.153406647	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H03	1	0.366040028	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H04	1	0.439504436	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H05	0	0.211741651	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H06	1	0.297939859	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H07	1	0.118017583	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H08	1	0.367292767	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H09	1	0.321602971	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H10	1	0.928331114	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H11	1	0.950511638	1	19098	18522	18505	18520	50000	50	NA	1
03162017	H12	0	0.208841957	1	19098	18522	18505	18520	50000	50	NA	1
03172017	A01	1	2.093989827	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A02	1	3.426044333	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A03	1	1.108780149	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A04	1	2.685818537	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A05	1	1.354115239	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A06	1	4.097995129	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A07	1	3.265304027	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A08	1	1.830856277	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A09	1	3.035999936	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A10	1	1.537429516	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A11	1	3.374815405	1	18502	18505	18522	19098	50000	50	NA	1
03172017	A12	1	2.944025	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B01	1	3.572870527	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B02	1	3.536522936	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B03	1	2.688922105	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B04	1	2.572361142	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B05	1	1.212621494	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B06	1	1.48080026	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B07	1	2.733210309	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B08	1	2.269608838	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B09	1	2.202085744	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B10	1	2.311849762	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B11	1	2.173270531	1	18502	18505	18522	19098	50000	50	NA	1
03172017	B12	1	2.306952219	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C01	1	1.391673012	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C02	1	3.288828487	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C03	1	3.5144931	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C04	1	2.589188753	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C05	0	2.619346721	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C06	1	2.662529447	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C07	1	2.683204355	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C08	1	2.742485038	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C09	1	2.303763024	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C10	1	0.615321155	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C11	1	0.664435717	1	18502	18505	18522	19098	50000	50	NA	1
03172017	C12	1	1.4197967	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D01	2	4.140829152	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D02	1	3.054891643	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D03	1	1.439312819	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D04	1	0.836796512	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D05	1	0.554562749	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D06	1	3.107111357	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D07	1	1.407101512	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D08	1	0.848072744	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D09	1	2.236894514	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D10	1	1.926141973	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D11	1	1.066772505	1	18502	18505	18522	19098	50000	50	NA	1
03172017	D12	1	1.349637053	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E01	1	4.127860038	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E02	1	3.139324834	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E03	1	3.11498432	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E04	1	1.066818333	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E05	1	2.861304429	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E06	1	2.656975513	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E07	1	3.754928866	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E08	1	3.131717919	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E09	1	2.680197087	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E10	1	2.867533849	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E11	1	2.69240656	1	18502	18505	18522	19098	50000	50	NA	1
03172017	E12	1	1.291777331	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F01	1	4.125557551	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F02	1	2.67005533	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F03	1	1.972596988	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F04	1	1.498849463	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F05	1	2.874474109	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F06	1	3.233691501	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F07	1	3.076945308	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F08	1	2.38401413	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F09	1	2.717785348	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F10	1	2.793073132	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F11	0	0.479536655	1	18502	18505	18522	19098	50000	50	NA	1
03172017	F12	1	2.646061059	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G01	0	0.580034172	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G02	1	1.087594504	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G03	1	3.383447069	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G04	1	2.589536238	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G05	0	0.493729816	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G06	1	3.160071396	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G07	1	2.047183729	1	18502	18505	18522	19098	50000	50	NA	1
